Type               ,Version            ,S/N                ,Region             ,BLE Ver            ,BLE Mac            ,
IQ36V218A          ,P3.4               ,PI504656           ,US                 ,                   ,00:00:00:00:00:00  ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    875,     50,OPP    ,      0,      0,    5.0,  2.250,   44.0,      4,      0,     64,    3.1,     95,      0,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   5346,  59675, -54329,   6752,     71,      1,     23,    575,    280,    935,  20617,    471,   9982,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,Bat Dis,
    300,                   ,    300,     24,     50,       ,OPP    ,     26,   2.00,   2.37,     75,     50,     68,     84,   2.34,Part ch,       ,04/22/2021 20:41:16,04/22/2021 21:49:16,      0,YES    ,
    299,                   ,    300,     24,     50,       ,OPP    ,     40,   2.02,   2.47,     38,     50,     37,     34,   1.02,Full ch,       ,04/23/2021 02:30:16,04/23/2021 03:05:16,      0,NO     ,
    298,                   ,    300,     24,     50,       ,OPP    ,     23,   1.99,   2.26,     75,     50,      9,      9,   0.26,Part ch,       ,04/23/2021 03:41:16,04/23/2021 03:50:16,      0,YES    ,
    297,                   ,    300,     24,     50,       ,OPP    ,     23,   1.99,   2.45,     75,     50,     96,    119,   3.35,Part ch,       ,04/23/2021 04:17:16,04/23/2021 05:53:16,      0,YES    ,
    296,                   ,    300,     24,     50,       ,OPP    ,     46,   2.04,   2.26,     75,     50,     20,     23,   0.63,Part ch,       ,04/23/2021 05:59:16,04/23/2021 06:18:16,      0,YES    ,
    295,                   ,    300,     24,     50,       ,OPP    ,     93,   2.13,   4.39,      0,     50,     23,     24,   0.70,Full ch,       ,04/23/2021 06:19:16,04/23/2021 06:40:16,  16384,NO     ,
    294,                   ,    300,     24,     50,       ,OPP    ,     25,   2.00,   2.29,     74,     50,     54,     66,   1.79,Part ch,       ,04/23/2021 14:23:16,04/23/2021 15:16:16,      0,NO     ,
    293,                   ,    300,     24,     50,       ,OPP    ,     44,   2.03,   4.06,      0,     50,      5,      3,   0.08,Full ch,       ,04/23/2021 15:44:16,04/23/2021 15:48:16,  16384,NO     ,
    292,                   ,    300,     24,     50,       ,OPP    ,     41,   2.03,   2.47,     74,     50,    117,    144,   4.10,Part ch,       ,04/23/2021 15:56:16,04/23/2021 17:52:16,      0,NO     ,
    291,                   ,    300,     24,     50,       ,OPP    ,     36,   2.02,   3.37,      0,     50,     50,     59,   1.65,Full ch,       ,04/23/2021 20:53:16,04/23/2021 21:41:16,  16384,NO     ,
    290,                   ,    300,     24,     50,       ,OPP    ,     32,   2.01,   2.40,     75,     50,     55,     67,   1.89,Part ch,       ,04/23/2021 23:51:16,04/24/2021 00:45:16,      0,YES    ,
    289,                   ,    300,     24,     50,       ,OPP    ,     45,   2.03,   2.47,     41,     50,     31,     30,   0.90,Full ch,       ,04/24/2021 02:26:16,04/24/2021 02:57:16,      0,NO     ,
    288,                   ,    300,     24,     50,       ,OPP    ,     38,   2.02,   2.32,      0,     50,     51,     60,   1.71,Full ch,       ,04/24/2021 03:19:16,04/24/2021 04:09:16,  16384,NO     ,
    287,                   ,    300,     24,     50,       ,OPP    ,     47,   2.04,   2.49,     66,     50,     44,     50,   1.48,Full ch,       ,04/24/2021 06:20:16,04/24/2021 07:03:16,      0,NO     ,
    286,                   ,    300,     24,     50,       ,OPP    ,     36,   2.02,   2.46,     60,     50,     59,     68,   1.99,Full ch,       ,04/24/2021 10:11:16,04/24/2021 11:09:16,      0,NO     ,
    285,                   ,    300,     24,     50,       ,OPP    ,     30,   2.00,   2.24,     75,     50,      3,      2,   0.07,Part ch,       ,04/24/2021 13:15:16,04/24/2021 13:18:16,      0,NO     ,
    284,                   ,    300,     24,     50,       ,OPP    ,     25,   2.00,   2.47,     69,     50,    235,    260,   7.60,Full ch,DF7    ,04/24/2021 13:41:16,04/25/2021 00:04:16,   1280,NO     ,
    283,                   ,       ,     24,     50,       ,EQUAL  ,     52,   2.06,   2.30,      0,     50,    300,     57,   1.53,Full ch,DF7    ,04/25/2021 00:04:16,04/25/2021 05:04:16,   1792,NO     ,
    282,                   ,    300,     24,     50,       ,OPP    ,     28,   2.00,   3.60,      0,     50,     19,     19,   0.53,Full ch,       ,04/25/2021 13:58:16,04/25/2021 14:15:16,  16384,NO     ,
    281,                   ,    300,     24,     50,       ,OPP    ,     25,   2.00,   2.33,     75,     50,     71,     88,   2.43,Part ch,       ,04/25/2021 15:10:16,04/25/2021 16:21:16,      0,YES    ,
    280,                   ,    300,     24,     50,       ,OPP    ,     36,   2.02,   3.39,      0,     50,     25,     27,   0.75,Full ch,       ,04/25/2021 19:51:16,04/25/2021 20:14:16,  16384,NO     ,
    279,                   ,    300,     24,     50,       ,OPP    ,     11,   1.97,   3.38,      0,     50,     52,     61,   1.68,Full ch,       ,04/25/2021 21:27:16,04/25/2021 22:18:16,  16384,NO     ,
    278,                   ,    300,     24,     50,       ,OPP    ,      8,   1.96,   2.31,     75,     50,     61,     75,   2.07,Part ch,       ,04/25/2021 23:43:16,04/26/2021 00:45:16,      0,YES    ,
    277,                   ,    300,     24,     50,       ,OPP    ,     40,   2.02,   2.47,     47,     50,     30,     30,   0.90,Full ch,       ,04/26/2021 02:30:16,04/26/2021 02:59:16,      0,NO     ,
    276,                   ,    300,     24,     50,       ,OPP    ,     25,   2.00,   4.49,      0,     50,     31,     36,   0.98,Full ch,       ,04/26/2021 03:06:16,04/26/2021 03:36:16,  16384,NO     ,
    275,                   ,    300,     24,     50,       ,OPP    ,      7,   1.96,   2.47,     58,     50,    155,    183,   5.24,Full ch,       ,04/26/2021 04:40:16,04/26/2021 07:13:16,      0,NO     ,
    274,                   ,    300,     24,     50,       ,OPP    ,     69,   2.09,   2.47,     57,     50,     69,     63,   1.87,Full ch,DF7    ,04/26/2021 07:15:16,04/26/2021 10:44:16,   1280,NO     ,
    273,                   ,    300,     24,     50,       ,OPP    ,     33,   2.01,   4.29,      0,     50,     18,     19,   0.52,Full ch,       ,04/26/2021 10:44:16,04/26/2021 11:01:16,  16384,NO     ,
    272,                   ,    300,     24,     50,       ,OPP    ,     30,   2.01,   2.27,     75,     50,     38,     46,   1.27,Part ch,       ,04/26/2021 11:48:16,04/26/2021 12:26:16,      0,NO     ,
    271,                   ,    300,     24,     50,       ,OPP    ,      5,   1.96,   2.25,     75,     50,      2,      1,   0.04,Part ch,       ,04/26/2021 13:11:16,04/26/2021 13:13:16,      0,YES    ,
    270,                   ,    300,     24,     50,       ,OPP    ,     30,   2.01,   2.25,     75,     50,     15,     18,   0.49,Part ch,       ,04/26/2021 13:16:16,04/26/2021 13:31:16,      0,NO     ,
    269,                   ,    300,     24,     50,       ,OPP    ,      5,   1.95,   3.97,      0,     50,     36,     41,   1.19,Full ch,       ,04/26/2021 16:16:16,04/26/2021 16:50:16,  16384,NO     ,
    268,                   ,    300,     24,     50,       ,OPP    ,     36,   2.02,   2.48,     44,     50,     31,     30,   0.91,Full ch,       ,04/27/2021 02:26:16,04/27/2021 02:56:16,      0,NO     ,
    267,                   ,    300,     24,     50,       ,OPP    ,     41,   2.03,   2.47,     47,     50,     27,     26,   0.77,Full ch,       ,04/27/2021 06:07:16,04/27/2021 06:32:16,      0,NO     ,
    266,                   ,    300,     24,     50,       ,OPP    ,     28,   2.00,   2.26,      0,     50,      9,      8,   0.22,Full ch,       ,04/27/2021 06:53:16,04/27/2021 07:01:16,  16384,NO     ,
    265,                   ,    300,     24,     50,       ,OPP    ,     29,   2.00,   2.42,      0,     50,     11,     11,   0.29,Full ch,       ,04/27/2021 09:29:16,04/27/2021 09:39:16,  16384,NO     ,
    264,                   ,    300,     24,     50,       ,OPP    ,     38,   2.02,   2.47,     43,     50,     35,     34,   1.02,Part ch,       ,04/27/2021 09:47:16,04/27/2021 10:22:16,      0,YES    ,
    263,                   ,    300,     24,     50,       ,OPP    ,     28,   2.00,   2.26,     74,     50,     11,     12,   0.34,Part ch,       ,04/27/2021 10:59:16,04/27/2021 11:09:16,      0,YES    ,
    262,                   ,    300,     24,     50,       ,OPP    ,     37,   2.02,   2.48,     67,     50,     96,    117,   3.41,Part ch,       ,04/27/2021 15:46:16,04/27/2021 17:22:16,      0,YES    ,
    261,                   ,    300,     24,     50,       ,OPP    ,     44,   2.03,   2.38,     75,     50,     36,     43,   1.21,Part ch,       ,04/27/2021 23:53:16,04/28/2021 00:29:16,      0,YES    ,
    260,                   ,    300,     24,     50,       ,OPP    ,     43,   2.03,   2.47,     36,     50,     37,     33,   0.98,Full ch,       ,04/28/2021 02:33:16,04/28/2021 03:08:16,      0,NO     ,
    259,                   ,    300,     24,     50,       ,OPP    ,     31,   2.01,   2.26,     75,     50,      9,      9,   0.26,Part ch,       ,04/28/2021 03:32:16,04/28/2021 03:40:16,      0,YES    ,
    258,                   ,    300,     24,     50,       ,OPP    ,     33,   2.01,   2.47,     21,     50,     74,     48,   1.43,Full ch,       ,04/28/2021 05:27:16,04/28/2021 06:40:16,      0,NO     ,
    257,                   ,    300,     24,     50,       ,OPP    ,     14,   1.98,   2.24,      0,     50,     10,      9,   0.25,Full ch,       ,04/28/2021 07:24:16,04/28/2021 07:33:16,  16384,NO     ,
    256,                   ,    300,     24,     50,       ,OPP    ,     31,   2.01,   4.36,      0,     50,     13,     13,   0.38,Full ch,       ,04/28/2021 07:47:16,04/28/2021 07:59:16,  16384,NO     ,
    255,                   ,    300,     24,     50,       ,OPP    ,     41,   2.03,   2.46,     30,     50,     37,     32,   0.96,Full ch,       ,04/28/2021 09:44:16,04/28/2021 10:20:16,      0,NO     ,
    254,                   ,    300,     24,     50,       ,OPP    ,     63,   2.08,   2.44,     75,     50,     66,     81,   2.32,Part ch,       ,04/28/2021 13:18:16,04/28/2021 14:24:16,      0,NO     ,
    253,                   ,    300,     24,     50,       ,OPP    ,     39,   2.02,   2.47,     38,     50,     33,     31,   0.93,Full ch,       ,04/28/2021 14:32:16,04/28/2021 15:04:16,      0,NO     ,
    252,                   ,    300,     24,     50,       ,OPP    ,     34,   2.01,   2.33,     75,     50,     23,     27,   0.75,Part ch,       ,04/28/2021 18:40:16,04/28/2021 19:03:16,      0,NO     ,
    251,                   ,    300,     24,     50,       ,OPP    ,     50,   2.04,   2.48,     68,     50,     43,     51,   1.49,Part ch,       ,04/29/2021 00:56:16,04/29/2021 01:39:16,      0,YES    ,
    250,                   ,    300,     24,     50,       ,OPP    ,     50,   2.05,   2.48,     66,     50,      6,      4,   0.12,Full ch,       ,04/29/2021 02:24:16,04/29/2021 02:28:16,      0,NO     ,
    249,                   ,    300,     24,     50,       ,OPP    ,     81,   2.11,   2.47,     45,     50,      6,      4,   0.14,Part ch,       ,04/29/2021 02:34:16,04/29/2021 02:40:16,      0,YES    ,
    248,                   ,    300,     24,     50,       ,OPP    ,     50,   2.04,   2.47,     72,     50,     32,     36,   1.06,Full ch,       ,04/29/2021 02:40:16,04/29/2021 03:11:16,      0,NO     ,
    247,                   ,    300,     24,     50,       ,OPP    ,     36,   2.02,   2.47,     49,     50,     24,     24,   0.71,Full ch,       ,04/29/2021 06:16:16,04/29/2021 06:38:16,      0,NO     ,
    246,                   ,    300,     24,     50,       ,OPP    ,     56,   2.06,   4.40,      0,     50,     44,     51,   1.46,Full ch,       ,04/29/2021 09:09:16,04/29/2021 09:52:16,  16384,NO     ,
    245,                   ,    300,     24,     50,       ,OPP    ,     23,   1.99,   2.70,      0,     50,     27,     30,   0.82,Full ch,       ,04/29/2021 11:02:16,04/29/2021 11:28:16,  16384,NO     ,
    244,                   ,    300,     24,     50,       ,OPP    ,     12,   1.97,   3.39,      0,     50,     24,     27,   0.78,Full ch,       ,04/29/2021 14:39:16,04/29/2021 15:02:16,  16384,NO     ,
    243,                   ,    300,     24,     50,       ,OPP    ,     50,   2.05,   2.30,      0,     50,     15,     15,   0.42,Full ch,       ,04/29/2021 15:09:16,04/29/2021 15:23:16,  16384,NO     ,
    242,                   ,    300,     24,     50,       ,OPP    ,     68,   2.09,   2.47,     24,     50,    121,    110,   3.25,Part ch,       ,04/29/2021 15:53:16,04/29/2021 17:54:16,      0,NO     ,
    241,                   ,    300,     24,     50,       ,OPP    ,     27,   2.00,   4.01,      0,     50,     55,     65,   1.81,Full ch,       ,04/29/2021 20:09:16,04/29/2021 21:04:16,  16384,NO     ,
    240,                   ,    300,     24,     50,       ,OPP    ,     43,   2.03,   2.47,     69,     50,     74,     90,   2.59,Part ch,       ,04/29/2021 22:28:16,04/29/2021 23:42:16,      0,YES    ,
    239,                   ,    300,     24,     50,       ,OPP    ,     47,   2.04,   2.27,     75,     50,      6,      6,   0.16,Part ch,       ,04/30/2021 00:59:16,04/30/2021 01:05:16,      0,YES    ,
    238,                   ,    300,     24,     50,       ,OPP    ,     45,   2.03,   2.77,      0,     50,      7,      5,   0.14,Full ch,       ,04/30/2021 01:21:16,04/30/2021 01:27:16,  16384,NO     ,
    237,                   ,    300,     24,     50,       ,OPP    ,     36,   2.02,   2.25,     75,     50,     13,     14,   0.41,Part ch,       ,04/30/2021 02:23:16,04/30/2021 02:36:16,      0,YES    ,
    236,                   ,    300,     24,     50,       ,OPP    ,     63,   2.08,   2.47,     51,     50,     23,     22,   0.67,Full ch,       ,04/30/2021 02:37:16,04/30/2021 02:59:16,      0,NO     ,
    235,                   ,    300,     24,     50,       ,OPP    ,     99,   2.16,   2.47,     66,     50,    114,    116,   3.46,Full ch,       ,04/30/2021 04:03:16,04/30/2021 05:56:16,      0,NO     ,
    234,                   ,    300,     24,     50,       ,OPP    ,     41,   2.03,   2.47,     17,     50,     61,     40,   1.18,Full ch,       ,04/30/2021 09:23:16,04/30/2021 10:23:16,      0,NO     ,
    233,                   ,    300,     24,     50,       ,OPP    ,     37,   2.02,   2.48,     68,     50,    102,    122,   3.52,Full ch,       ,04/30/2021 11:12:16,04/30/2021 12:53:16,      0,NO     ,
    232,                   ,    300,     24,     50,       ,OPP    ,     50,   2.05,   2.47,     46,     50,     65,     74,   2.17,Part ch,       ,04/30/2021 16:55:16,04/30/2021 17:59:16,      0,NO     ,
    231,                   ,    300,     24,     50,       ,OPP    ,     29,   2.00,   2.48,     70,     50,    179,    211,   6.15,Full ch,DF7    ,04/30/2021 18:09:16,05/02/2021 00:04:16,   1280,NO     ,
    230,                   ,       ,     24,     50,       ,EQUAL  ,     38,   2.02,   2.16,      7,     50,    480,     83,   2.21,Full ch,DF7    ,05/02/2021 00:04:16,05/02/2021 10:53:16,   1280,NO     ,
    229,                   ,    300,     24,     50,       ,OPP    ,     22,   1.99,   2.29,      0,     50,     23,     25,   0.70,Full ch,       ,05/02/2021 12:35:16,05/02/2021 12:57:16,  16384,NO     ,
    228,                   ,    300,     24,     50,       ,OPP    ,     25,   2.00,   4.04,      0,     50,     27,     30,   0.85,Full ch,       ,05/02/2021 13:55:16,05/02/2021 14:21:16,  16384,NO     ,
    227,                   ,    300,     24,     50,       ,OPP    ,     14,   1.97,   2.28,     75,     50,     45,     55,   1.50,Part ch,       ,05/03/2021 01:51:16,05/03/2021 02:36:16,      0,YES    ,
    226,                   ,    300,     24,     50,       ,OPP    ,     16,   1.98,   2.47,     49,     50,     37,     37,   1.12,Full ch,       ,05/03/2021 02:36:16,05/03/2021 03:12:16,      0,NO     ,
    225,                   ,    300,     24,     50,       ,OPP    ,     41,   2.03,   2.27,     75,     50,     21,     25,   0.69,Part ch,       ,05/03/2021 05:57:16,05/03/2021 06:19:16,      0,YES    ,
    224,                   ,    300,     24,     50,       ,OPP    ,     25,   2.00,   2.28,     75,     50,     34,     40,   1.11,Part ch,       ,05/03/2021 08:32:16,05/03/2021 09:05:16,      0,YES    ,
    223,                   ,    300,     24,     50,       ,OPP    ,     22,   1.99,   2.47,     27,     50,     89,     70,   2.07,Full ch,       ,05/03/2021 09:35:16,05/03/2021 11:03:16,      0,NO     ,
    222,                   ,    300,     24,     50,       ,OPP    ,     28,   2.00,   2.55,      0,     50,     13,     13,   0.36,Full ch,       ,05/03/2021 11:10:16,05/03/2021 11:22:16,  16384,NO     ,
    221,                   ,    300,     24,     50,       ,OPP    ,     23,   1.99,   2.46,     49,     50,     27,     28,   0.82,Full ch,       ,05/03/2021 14:40:16,05/03/2021 15:06:16,      0,NO     ,
    220,                   ,    300,     24,     50,       ,OPP    ,      8,   1.96,   2.25,     75,     50,     18,     21,   0.58,Part ch,       ,05/03/2021 15:47:16,05/03/2021 16:04:16,      0,YES    ,
    219,                   ,    300,     24,     50,       ,OPP    ,     17,   1.98,   2.28,     75,     50,     44,     53,   1.47,Part ch,       ,05/03/2021 17:03:16,05/03/2021 17:47:16,      0,YES    ,
    218,                   ,    300,     24,     50,       ,OPP    ,     50,   2.05,   2.47,     25,     50,     35,     20,   0.62,Full ch,       ,05/04/2021 02:21:16,05/04/2021 02:54:16,      0,NO     ,
    217,                   ,    300,     24,     50,       ,OPP    ,     47,   2.04,   2.37,     75,     50,      2,      1,   0.04,Part ch,       ,05/04/2021 05:54:16,05/04/2021 05:56:16,      0,YES    ,
    216,                   ,    300,     24,     50,       ,OPP    ,     38,   2.02,   2.33,     64,     50,     25,     28,   0.78,Full ch,       ,05/04/2021 05:57:16,05/04/2021 06:21:16,  16384,NO     ,
    215,                   ,    300,     24,     50,       ,OPP    ,      5,   1.94,   2.92,      0,     50,     45,     52,   1.44,Full ch,       ,05/04/2021 07:27:16,05/04/2021 08:11:16,  16384,NO     ,
    214,                   ,    300,     24,     50,       ,OPP    ,     38,   2.02,   2.47,     15,     50,     89,     43,   1.28,Full ch,       ,05/04/2021 08:43:16,05/04/2021 10:21:16,      0,NO     ,
