Type               ,Version            ,S/N                ,Region             ,
LT24V080A          ,P360               ,PI504325           ,US                 ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    600,     70,OPP    ,      0,      0,    5.0,  2.250,   27.0,      4,      0,     64,    4.0,     25,     60,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
    562,  57354, -56792,   2592,     15,      0,      3,      0,     35,    125,     10,     20,      0,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,
    200,                   ,    600,     24,     33,       ,EQUAL  ,     99,   2.37,   2.61,     15,     33,    479,    167,   5.36,Full ch,       ,02/05/2020 18:39:00,02/06/2020 07:34:00,      0,
    199,                   ,    600,     24,     33,       ,COLD   ,     33,   2.01,   2.54,     22,     33,    141,     90,   2.70,Full ch,       ,02/06/2020 15:08:00,02/07/2020 07:42:00,      0,
    198,                   ,    600,     24,     33,       ,COLD   ,     14,   1.97,   2.48,     67,     33,    258,    281,   8.47,Full ch,DF7    ,02/10/2020 12:23:00,02/11/2020 07:52:00,    256,
    197,                   ,    600,     24,     33,       ,COLD   ,     37,   2.02,   2.53,     22,     33,    117,     60,   1.81,Full ch,       ,02/11/2020 13:26:00,02/12/2020 11:48:00,      0,
    196,                   ,    600,     24,     33,       ,COLD   ,     22,   1.99,   2.48,     74,     33,    129,    167,   4.82,Part ch,       ,02/12/2020 11:50:00,02/12/2020 14:00:00,      0,
    195,                   ,    600,     24,     33,       ,COLD   ,     23,   1.99,   2.56,     22,     33,    129,     91,   2.73,Full ch,       ,02/12/2020 14:58:00,02/13/2020 07:54:00,      0,
    194,                   ,    600,     24,     33,       ,COLD   ,     36,   2.02,   2.59,     22,     33,     84,     39,   1.21,Full ch,       ,02/14/2020 01:30:00,02/14/2020 07:51:00,      0,
    193,                   ,    600,     24,     33,       ,COLD   ,     47,   2.04,   2.61,     22,     33,    274,    257,   7.55,Full ch,       ,02/17/2020 18:04:00,02/18/2020 07:13:00,      0,
    192,                   ,    600,     24,     33,       ,COLD   ,     50,   2.05,   2.60,     22,     33,    252,    236,   6.99,Full ch,       ,02/19/2020 01:18:00,02/19/2020 07:23:00,    512,
    191,                   ,    600,     24,     33,       ,COLD   ,     50,   2.05,   2.59,     22,     33,    269,    245,   7.26,Full ch,       ,02/20/2020 00:55:00,02/20/2020 07:35:00,      0,
    190,                   ,    600,     24,     33,       ,COLD   ,     50,   2.04,   2.58,     22,     33,    297,    277,   8.14,Full ch,       ,02/26/2020 00:53:00,02/26/2020 07:33:00,      0,
    189,                   ,    600,     24,     33,       ,COLD   ,     50,   2.05,   2.60,     22,     33,    261,    243,   7.19,Full ch,       ,03/03/2020 01:22:00,03/03/2020 07:20:00,      0,
    188,                   ,    600,     24,     33,       ,COLD   ,     50,   2.05,   2.56,     22,     33,    255,    236,   6.95,Full ch,       ,03/04/2020 00:34:00,03/04/2020 07:45:00,      0,
    187,                   ,    600,     24,     33,       ,COLD   ,     50,   2.05,   2.54,     22,     33,    100,     41,   1.24,Full ch,       ,03/05/2020 23:18:00,03/06/2020 08:39:00,      0,
    186,                   ,    600,     24,     33,       ,COLD   ,     35,   2.01,   2.54,     22,     33,    288,    263,   7.68,Full ch,       ,03/07/2020 10:57:00,03/08/2020 00:04:00,      0,
    185,                   ,    600,     24,     33,       ,EQUAL  ,     99,   2.18,   2.56,     15,     33,    479,    167,   5.23,Full ch,       ,03/08/2020 00:04:00,03/09/2020 07:30:00,      0,
    184,                   ,    600,     24,     33,       ,COLD   ,     25,   2.00,   2.54,     22,     33,    128,     86,   2.57,Full ch,       ,03/10/2020 16:09:00,03/11/2020 15:48:00,      0,
    183,                   ,    600,     24,     33,       ,COLD   ,     32,   2.01,   2.53,     22,     33,     95,     48,   1.44,Full ch,       ,03/11/2020 15:57:00,03/11/2020 23:13:00,      0,
    182,                   ,    600,     24,     33,       ,COLD   ,     37,   2.02,   2.54,     22,     33,     77,     35,   1.06,Full ch,       ,03/11/2020 23:18:00,03/12/2020 08:11:00,      0,
    181,                   ,    600,     24,     33,       ,COLD   ,     33,   2.01,   2.53,     22,     33,     82,     34,   1.04,Full ch,       ,03/12/2020 08:13:00,03/12/2020 09:47:00,      0,
    180,                   ,    600,     24,     33,       ,COLD   ,      8,   1.96,   2.31,     78,     33,    112,    146,   4.08,Part ch,DF4    ,03/14/2020 10:45:00,03/14/2020 12:37:00,   4096,
    179,                   ,    600,     24,     33,       ,COLD   ,     57,   2.06,   2.53,     22,     33,    375,    320,   9.51,Full ch,       ,03/14/2020 13:19:00,03/15/2020 00:04:00,      0,
    178,                   ,    600,     24,     33,       ,EQUAL  ,     99,   2.18,   2.56,     15,     33,    479,    167,   5.24,Full ch,       ,03/15/2020 00:04:00,03/16/2020 07:30:00,      0,
    177,                   ,    600,     24,     33,       ,COLD   ,     33,   2.01,   2.48,     22,     33,     74,     58,   1.72,Part ch,       ,03/16/2020 13:01:00,03/16/2020 14:17:00,      0,
    176,                   ,    600,     24,     33,       ,COLD   ,     45,   2.03,   2.51,     22,     33,    104,     52,   1.56,Full ch,       ,03/16/2020 15:43:00,03/16/2020 19:09:00,      0,
    175,                   ,    600,     24,     33,       ,COLD   ,     46,   2.04,   2.52,     22,     33,     66,     26,   0.79,Full ch,       ,03/16/2020 19:10:00,03/16/2020 21:20:00,      0,
    174,                   ,    600,     24,     33,       ,COLD   ,     28,   2.00,   2.52,     22,     33,    112,     92,   2.72,Full ch,       ,03/17/2020 15:37:00,03/18/2020 07:58:00,    512,
    173,                   ,    600,     24,     33,       ,COLD   ,     14,   1.98,   2.58,     22,     33,    502,    477,  13.81,Full ch,       ,03/20/2020 16:45:00,03/21/2020 07:30:00,      0,
    172,                   ,    600,     24,     33,       ,COLD   ,     74,   2.10,   2.62,     22,     33,    176,    142,   4.28,Full ch,       ,03/21/2020 16:09:00,03/22/2020 00:04:00,      0,
    171,                   ,    600,     24,     33,       ,EQUAL  ,     99,   2.19,   2.58,     15,     33,    479,    167,   5.32,Full ch,       ,03/22/2020 00:04:00,03/23/2020 07:37:00,      0,
    170,                   ,    600,     24,     33,       ,COLD   ,     12,   1.97,   2.60,     22,     33,    494,    490,  14.09,Full ch,       ,03/24/2020 16:17:00,03/25/2020 07:29:00,      0,
    169,                   ,    600,     24,     33,       ,COLD   ,     66,   2.08,   2.61,     22,     33,    252,    238,   7.01,Full ch,       ,03/25/2020 16:16:00,03/26/2020 07:42:00,      0,
    168,                   ,    600,     24,     33,       ,COLD   ,     28,   2.00,   2.48,     69,     33,     41,     52,   1.54,Part ch,       ,03/26/2020 10:35:00,03/26/2020 11:16:00,      0,
    167,                   ,    600,     24,     33,       ,COLD   ,     44,   2.03,   2.49,     22,     33,    105,     46,   1.38,Full ch,       ,03/26/2020 20:15:00,03/27/2020 01:19:00,      0,
    166,                   ,    600,     24,     33,       ,COLD   ,     33,   2.01,   2.50,     22,     33,    176,     94,   2.81,Full ch,       ,03/31/2020 11:29:00,03/31/2020 16:08:00,      0,
    165,                   ,    600,     24,     33,       ,COLD   ,     27,   2.00,   2.48,     57,     33,    205,    187,   5.64,Full ch,DF7    ,03/31/2020 16:09:00,03/31/2020 22:58:00,    256,
    164,                   ,    600,     24,     33,       ,COLD   ,     42,   2.03,   2.58,     22,     33,    376,    345,  10.09,Full ch,DFC    ,04/02/2020 16:21:00,04/03/2020 07:34:00,      2,
    163,                   ,    600,     24,     33,       ,COLD   ,     57,   2.07,   2.62,     22,     33,    250,    226,   6.68,Full ch,DFC    ,04/06/2020 15:50:00,04/07/2020 07:44:00,      2,
