Type               ,Version            ,S/N                ,Region             ,BLE Ver            ,BLE Mac            ,
IQ36V240A          ,P3.4               ,RA518167           ,US                 ,                   ,00:00:00:00:00:00  ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    875,     50,OPP    ,      0,      0,    5.0,  2.250,   39.0,      4,      0,     64,    3.7,     95,      0,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   4152,  60246, -56094,   6842,     43,      0,     10,      0,    286,    756,  20655,    135,   1536,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,Bat Dis,
    300,                   ,    875,     36,     50,       ,OPP    ,     32,   2.01,   2.37,    154,     50,     77,    199,   8.45,Part ch,       ,04/13/2016 04:44:16,04/13/2016 06:01:16,      0,NO     ,
    299,                   ,    875,     36,     50,       ,OPP    ,     12,   1.97,   2.38,    154,     50,     81,    207,   8.75,Part ch,       ,04/13/2016 07:09:16,04/13/2016 08:29:16,      0,YES    ,
    298,                   ,    875,     36,     50,       ,OPP    ,     54,   2.06,   2.43,    154,     50,     54,    138,   6.00,Part ch,       ,04/13/2016 09:26:16,04/13/2016 10:20:16,      0,YES    ,
    297,                   ,    875,     36,     50,       ,OPP    ,     52,   2.06,   2.47,     43,     50,    204,    354,  15.76,Full ch,       ,04/13/2016 13:43:16,04/13/2016 19:43:16,      0,NO     ,
    296,                   ,       ,     36,     50,       ,COLD   ,     48,   2.04,   2.34,    159,     50,     34,     81,   3.43,Part ch,       ,04/13/2016 23:55:16,04/14/2016 00:29:16,      0,YES    ,
    295,                   ,       ,     36,     50,       ,COLD   ,      5,   1.93,   2.33,    153,     50,     73,    164,   6.81,Part ch,DF4    ,04/14/2016 02:46:16,04/14/2016 03:59:16,   4096,YES    ,
    294,                   ,    875,     36,     50,       ,OPP    ,     14,   1.98,   2.27,    159,     50,     14,     34,   1.42,Part ch,       ,04/14/2016 04:53:16,04/14/2016 05:06:16,      0,NO     ,
    293,                   ,    875,     36,     50,       ,OPP    ,     12,   1.97,   2.38,    155,     50,     83,    215,   9.08,Part ch,       ,04/14/2016 07:07:16,04/14/2016 08:30:16,      0,YES    ,
    292,                   ,    875,     36,     50,       ,OPP    ,     52,   2.06,   2.44,    153,     50,     61,    159,   6.90,Part ch,       ,04/14/2016 09:16:16,04/14/2016 10:17:16,      0,YES    ,
    291,                   ,    875,     36,     50,       ,OPP    ,     41,   2.03,   2.47,     43,     50,    218,    395,  17.47,Full ch,       ,04/14/2016 14:16:16,04/14/2016 19:42:16,      0,NO     ,
    290,                   ,       ,     36,     50,       ,COLD   ,     27,   2.00,   2.40,    159,     50,     95,    244,  10.33,Part ch,       ,04/15/2016 02:47:16,04/15/2016 04:21:16,      0,YES    ,
    289,                   ,    875,     36,     50,       ,OPP    ,     36,   2.02,   2.47,     43,     50,    277,    523,  22.94,Full ch,       ,04/15/2016 13:09:16,04/15/2016 22:00:16,      0,NO     ,
    288,                   ,       ,     36,     50,       ,COLD   ,     99,   2.20,   2.42,     40,     50,      4,      2,   0.11,Full ch,       ,04/15/2016 22:00:16,04/17/2016 00:04:16,      0,NO     ,
    287,                   ,       ,     36,     50,       ,EQUAL  ,     99,   2.21,   2.50,     24,     50,    480,    272,  12.70,Full ch,       ,04/17/2016 00:04:16,04/17/2016 19:41:16,      0,NO     ,
    286,                   ,       ,     36,     50,       ,COLD   ,      5,   1.93,   2.37,    154,     50,     69,    153,   6.40,Part ch,DF4    ,04/18/2016 03:21:16,04/18/2016 04:30:16,   4096,YES    ,
    285,                   ,    875,     36,     50,       ,OPP    ,     55,   2.06,   2.48,     88,     50,    126,    292,  12.91,Part ch,       ,04/18/2016 04:55:16,04/18/2016 07:00:16,      0,NO     ,
    284,                   ,    875,     36,     50,       ,OPP    ,     96,   2.14,   2.47,     43,     50,     78,    104,   4.67,Full ch,       ,04/18/2016 07:30:16,04/18/2016 09:05:16,      0,NO     ,
    283,                   ,    875,     36,     50,       ,OPP    ,     90,   2.13,   2.47,     43,     50,     50,     65,   2.93,Full ch,       ,04/18/2016 09:41:16,04/18/2016 11:12:16,      0,NO     ,
    282,                   ,       ,     36,     50,       ,COLD   ,     37,   2.02,   2.33,    155,     50,     61,    153,   6.39,Part ch,       ,04/19/2016 00:48:16,04/19/2016 01:49:16,      0,YES    ,
    281,                   ,    875,     36,     50,       ,OPP    ,     61,   2.07,   2.40,    155,     50,     40,    102,   4.43,Part ch,       ,04/19/2016 04:54:16,04/19/2016 05:33:16,      0,NO     ,
    280,                   ,    875,     36,     50,       ,OPP    ,      5,   1.88,   2.28,    155,     50,     41,    105,   4.34,Part ch,       ,04/19/2016 07:43:16,04/19/2016 08:23:16,      0,YES    ,
    279,                   ,    875,     36,     50,       ,OPP    ,      6,   1.96,   2.28,    155,     50,     38,     98,   4.05,Part ch,       ,04/19/2016 09:33:16,04/19/2016 10:11:16,      0,YES    ,
    278,                   ,    875,     36,     50,       ,OPP    ,     23,   1.99,   2.26,    159,     50,     10,     25,   1.02,Part ch,       ,04/19/2016 10:45:16,04/19/2016 10:55:16,      0,YES    ,
    277,                   ,    875,     36,     50,       ,OPP    ,     31,   2.01,   2.27,    160,     50,     13,     33,   1.36,Part ch,       ,04/19/2016 11:24:16,04/19/2016 11:37:16,      0,YES    ,
    276,                   ,    875,     36,     50,       ,OPP    ,      5,   1.74,   2.28,    155,     50,     45,    114,   4.70,Part ch,       ,04/19/2016 12:35:16,04/19/2016 13:20:16,      0,YES    ,
    275,                   ,    875,     36,     50,       ,OPP    ,     45,   2.03,   2.46,     50,     50,    334,    657,  28.82,Part ch,       ,04/19/2016 14:08:16,04/19/2016 19:43:16,      0,YES    ,
    274,                   ,       ,     36,     50,       ,COLD   ,     50,   2.05,   2.32,    159,     50,     36,     88,   3.69,Part ch,       ,04/20/2016 00:45:16,04/20/2016 01:21:16,      0,YES    ,
    273,                   ,    875,     36,     50,       ,OPP    ,      5,   1.92,   2.28,    159,     50,     36,     93,   3.86,Part ch,       ,04/20/2016 05:02:16,04/20/2016 05:38:16,      0,YES    ,
    272,                   ,    875,     36,     50,       ,OPP    ,      5,   1.95,   2.34,    155,     50,     48,    124,   5.17,Part ch,       ,04/20/2016 07:36:16,04/20/2016 08:24:16,      0,YES    ,
