Type               ,Version            ,S/N                ,Region             ,BLE Ver            ,BLE Mac            ,
IQ36V240A          ,P3.4               ,RA518168           ,US                 ,                   ,00:00:00:00:00:00  ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    875,     50,OPP    ,      0,      0,    5.0,  2.250,   39.0,      4,      0,     64,    4.0,     95,      0,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   6646,  62133, -55487,   6959,     30,      0,     17,     13,    287,    884,  20664,     87,   1634,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,Bat Dis,
    300,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     37,   2.02,   2.29,    152,     50,     27,     65,   2.69,Part ch,       ,03/15/2022 13:51:16,03/15/2022 14:18:16,      0,YES    ,
    299,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     27,   2.00,   2.40,    144,     50,    125,    300,  12.73,Part ch,       ,03/15/2022 15:56:16,03/15/2022 18:01:16,      0,NO     ,
    298,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     84,   2.12,   2.47,     43,     50,    114,    200,   8.94,Full ch,       ,03/15/2022 18:07:16,03/15/2022 22:00:16,      0,NO     ,
    297,RTK00077421        ,    875,     36,     50,OPP    ,COLD   ,     99,   2.16,   2.43,     34,     50,      6,      3,   0.16,Full ch,       ,03/15/2022 22:00:16,03/15/2022 22:14:16,      0,NO     ,
    296,RTK00077421        ,    875,     36,     50,OPP    ,EQUAL  ,     99,   2.18,   2.48,     39,     50,      9,      5,   0.23,Part ch,       ,03/15/2022 22:14:16,03/15/2022 22:23:16,      0,NO     ,
    295,RTK00077421        ,    875,     36,     50,OPP    ,COLD   ,     99,   2.16,   2.44,     42,     50,      4,      3,   0.13,Full ch,       ,03/15/2022 22:28:16,03/15/2022 22:40:16,      0,NO     ,
    294,RTK00077421        ,    875,     36,     50,OPP    ,EQUAL  ,     99,   2.18,   2.48,     21,     50,    369,    203,   9.30,Part ch,       ,03/15/2022 22:40:16,03/16/2022 04:49:16,      0,NO     ,
    293,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     71,   2.09,   2.47,     54,     50,     11,     17,   0.75,Full ch,       ,03/16/2022 04:58:16,03/16/2022 05:39:16,      0,NO     ,
    292,                   ,    875,     36,     50,       ,OPP    ,      5,   1.81,   2.49,     75,     50,    178,    381,  16.44,Part ch,       ,03/16/2022 05:43:16,03/16/2022 08:41:16,      0,YES    ,
    291,                   ,    875,     36,     50,       ,OPP    ,     50,   2.05,   2.35,    148,     50,     29,     72,   3.04,Part ch,       ,03/16/2022 13:07:16,03/16/2022 13:37:16,      0,NO     ,
    290,                   ,    875,     36,     50,       ,OPP    ,     33,   2.01,   2.28,    153,     50,      5,      9,   0.39,Part ch,       ,03/16/2022 13:43:16,03/16/2022 13:48:16,      0,NO     ,
    289,                   ,    875,     36,     50,       ,OPP    ,     44,   2.03,   2.47,    140,     50,     65,    152,   6.53,Part ch,       ,03/16/2022 13:51:16,03/16/2022 14:56:16,      0,NO     ,
    288,                   ,    875,     36,     50,       ,OPP    ,     76,   2.10,   2.47,     43,     50,    124,    155,   6.99,Full ch,       ,03/16/2022 15:06:16,03/16/2022 17:18:16,      0,NO     ,
    287,                   ,    875,     36,     50,       ,OPP    ,     52,   2.06,   2.30,    153,     50,      2,      2,   0.11,Part ch,       ,03/16/2022 19:29:16,03/16/2022 19:31:16,      0,YES    ,
    286,                   ,    875,     36,     50,       ,OPP    ,     23,   1.99,   2.27,    154,     50,      7,     16,   0.67,Part ch,       ,03/16/2022 21:53:16,03/16/2022 22:00:16,      0,YES    ,
