Type               ,Version            ,S/N                ,Region             ,
LT24V080A          ,P3.4               ,PI504328           ,US                 ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    300,     40,OPP    ,      0,      0,    5.0,  2.250,   14.0,      4,      0,     64,    4.0,     50,      0,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   3106,  59162, -56056,   5862,     45,      0,     17,      0,    728,    317,  20194,     94,      0,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,
    200,                   ,    300,     24,     41,       ,OPP    ,     22,   1.99,   2.49,     22,     41,    172,    144,   4.25,Full ch,       ,01/23/2022 16:24:00,01/23/2022 19:17:00,      0,
    199,                   ,    300,     24,     41,       ,OPP    ,     31,   2.01,   2.48,     36,     41,    360,    192,   5.79,Full ch,DF7    ,01/24/2022 23:19:00,01/25/2022 05:31:00,    256,
    198,                   ,    300,     24,     41,       ,OPP    ,     73,   2.10,   2.48,     20,     41,     99,     45,   1.34,Full ch,       ,01/25/2022 20:11:00,01/25/2022 21:51:00,      0,
    197,                   ,    300,     24,     41,       ,OPP    ,     50,   2.05,   2.48,     36,     41,    285,    155,   4.66,Full ch,DF7    ,01/25/2022 23:12:00,01/26/2022 05:36:00,    256,
    196,                   ,    300,     24,     41,       ,OPP    ,     41,   2.03,   2.48,     36,     41,    330,    183,   5.51,Full ch,DF7    ,01/26/2022 23:20:00,01/27/2022 05:33:00,    256,
    195,                   ,    300,     24,     41,       ,OPP    ,     29,   2.00,   2.49,     35,     41,    316,    173,   5.20,Full ch,DF7    ,01/27/2022 23:49:00,01/28/2022 05:33:00,    256,
    194,                   ,    300,     24,     41,       ,OPP    ,     22,   1.99,   2.49,     34,     41,    361,    187,   5.64,Full ch,DF7    ,01/28/2022 22:38:00,01/29/2022 04:44:00,    256,
    193,                   ,    300,     24,     41,       ,EQUAL  ,     99,   2.16,   2.29,      7,     41,    479,     83,   2.34,Full ch,       ,01/29/2022 04:44:00,01/30/2022 10:42:00,      0,
    192,                   ,    300,     24,     41,       ,OPP    ,     48,   2.04,   2.49,     22,     41,     40,     18,   0.56,Full ch,       ,01/31/2022 05:33:00,01/31/2022 06:14:00,   8192,
    191,                   ,    300,     24,     41,       ,OPP    ,     28,   2.00,   2.48,     30,     41,    360,    162,   4.86,Full ch,DF7    ,01/31/2022 22:50:00,02/01/2022 05:46:00,    256,
    190,                   ,    300,     24,     41,       ,OPP    ,     28,   2.00,   2.49,     33,     41,    315,    163,   4.91,Full ch,DF7    ,02/02/2022 00:04:00,02/02/2022 05:43:00,    256,
    189,                   ,    300,     24,     41,       ,OPP    ,     16,   1.98,   2.49,     15,     41,     87,     62,   1.86,Full ch,       ,02/02/2022 06:53:00,02/02/2022 08:22:00,      0,
    188,                   ,    300,     24,     41,       ,EQUAL  ,     99,   2.23,   2.48,     13,     41,    140,     31,   0.95,Part ch,       ,02/02/2022 08:22:00,02/02/2022 10:42:00,      0,
    187,                   ,    300,     24,     41,       ,OPP    ,     92,   2.13,   2.49,     15,     41,      5,      2,   0.07,Full ch,       ,02/02/2022 10:50:00,02/02/2022 10:56:00,      0,
    186,                   ,    300,     24,     41,       ,EQUAL  ,     99,   2.28,   2.43,     13,     41,    214,     48,   1.43,Part ch,       ,02/02/2022 10:56:00,02/02/2022 14:32:00,      0,
    185,                   ,    300,     24,     41,       ,OPP    ,     38,   2.02,   2.49,     36,     41,    270,    149,   4.50,Full ch,DF7    ,02/03/2022 00:41:00,02/03/2022 05:29:00,    256,
    184,                   ,    300,     24,     41,       ,OPP    ,     27,   2.00,   2.49,     35,     41,    378,    202,   6.08,Full ch,       ,02/03/2022 23:17:00,02/04/2022 05:36:00,   8192,
    183,                   ,    300,     24,     41,       ,OPP    ,     40,   2.02,   2.48,     36,     41,    256,    141,   4.23,Full ch,DF7    ,02/04/2022 23:39:00,02/05/2022 04:00:00,    256,
    182,                   ,    300,     24,     41,       ,EQUAL  ,     99,   2.16,   2.14,      0,     41,     89,     19,   0.55,Full ch,DF5    ,02/05/2022 04:00:00,02/05/2022 05:30:00,    512,
    181,                   ,    300,     24,     41,       ,OPP    ,     36,   2.02,   2.49,     37,     41,    270,    153,   4.61,Full ch,DF7    ,02/05/2022 21:56:00,02/06/2022 02:32:00,    256,
    180,                   ,    300,     24,     41,       ,EQUAL  ,     99,   2.16,   2.30,      7,     41,    479,     83,   2.34,Full ch,       ,02/06/2022 02:32:00,02/06/2022 19:52:00,      0,
    179,                   ,    300,     24,     41,       ,OPP    ,     38,   2.02,   2.49,     30,     41,     31,     22,   0.68,Full ch,       ,02/07/2022 07:49:00,02/07/2022 08:21:00,      0,
    178,                   ,    300,     24,     41,       ,OPP    ,     21,   1.99,   2.49,     35,     41,    315,    167,   5.04,Full ch,DF7    ,02/07/2022 21:26:00,02/08/2022 05:41:00,    256,
    177,                   ,    300,     24,     41,       ,OPP    ,     29,   2.00,   2.48,     33,     41,    346,    171,   5.13,Full ch,DF7    ,02/08/2022 22:31:00,02/09/2022 05:44:00,    256,
    176,                   ,    300,     24,     41,       ,OPP    ,     21,   1.99,   2.49,     34,     41,    315,    171,   5.16,Full ch,DF7    ,02/09/2022 22:58:00,02/10/2022 05:35:00,    256,
    175,                   ,    300,     24,     41,       ,OPP    ,     22,   1.99,   2.49,     40,     41,    255,    167,   5.04,Full ch,DF7    ,02/10/2022 23:55:00,02/11/2022 05:33:00,    256,
    174,                   ,    300,     24,     41,       ,OPP    ,     28,   2.00,   2.49,     35,     41,    316,    174,   5.25,Full ch,DF7    ,02/11/2022 23:25:00,02/12/2022 04:46:00,    256,
    173,                   ,    300,     24,     41,       ,EQUAL  ,     99,   2.16,   2.17,      0,     41,     59,     11,   0.31,Full ch,DF5    ,02/12/2022 04:46:00,02/12/2022 05:46:00,    512,
    172,                   ,    300,     24,     41,       ,OPP    ,     38,   2.02,   2.49,     39,     41,    256,    151,   4.55,Full ch,DF7    ,02/12/2022 22:04:00,02/13/2022 02:25:00,    256,
    171,                   ,    300,     24,     41,       ,EQUAL  ,     99,   2.16,   2.29,      7,     41,    479,     83,   2.33,Full ch,       ,02/13/2022 02:25:00,02/14/2022 05:25:00,      0,
    170,                   ,    300,     24,     41,       ,OPP    ,     21,   1.99,   2.48,     32,     41,    352,    191,   5.75,Full ch,       ,02/14/2022 23:41:00,02/15/2022 05:34:00,      0,
    169,                   ,    300,     24,     41,       ,OPP    ,     38,   2.02,   2.48,     32,     41,    331,    168,   5.05,Full ch,DF7    ,02/15/2022 23:09:00,02/16/2022 05:42:00,    256,
    168,                   ,    300,     24,     41,       ,OPP    ,     36,   2.02,   2.49,     39,     41,    256,    158,   4.75,Full ch,DF7    ,02/16/2022 19:47:00,02/17/2022 05:38:00,    256,
    167,                   ,    300,     24,     41,       ,OPP    ,     31,   2.01,   2.43,     75,     41,     80,    100,   2.87,Part ch,       ,02/18/2022 03:53:00,02/18/2022 05:13:00,      0,
    166,                   ,    300,     24,     41,       ,OPP    ,     39,   2.02,   2.48,     25,     41,    206,    109,   3.28,Full ch,       ,02/18/2022 05:42:00,02/18/2022 09:08:00,      0,
    165,                   ,    300,     24,     41,       ,OPP    ,     49,   2.04,   2.49,     35,     41,    240,    127,   3.83,Full ch,DF7    ,02/18/2022 23:18:00,02/19/2022 03:24:00,    256,
    164,                   ,    300,     24,     41,       ,EQUAL  ,     99,   2.16,   2.17,      0,     41,    149,     29,   0.83,Full ch,DF5    ,02/19/2022 03:24:00,02/19/2022 05:54:00,    512,
    163,                   ,    300,     24,     41,       ,OPP    ,     55,   2.06,   2.49,     41,     41,     69,     74,   2.21,Part ch,       ,02/19/2022 12:11:00,02/19/2022 13:21:00,      0,
    162,                   ,    300,     24,     41,       ,OPP    ,     41,   2.03,   2.48,     34,     41,    285,    145,   4.37,Full ch,DF7    ,02/19/2022 21:15:00,02/20/2022 02:06:00,    256,
    161,                   ,    300,     24,     41,       ,EQUAL  ,     99,   2.16,   2.30,      7,     41,    479,     83,   2.34,Full ch,       ,02/20/2022 02:06:00,02/21/2022 05:39:00,      0,
    160,                   ,    300,     24,     41,       ,OPP    ,     45,   2.03,   2.49,     26,     41,     40,     23,   0.71,Full ch,       ,02/21/2022 07:49:00,02/21/2022 08:30:00,      0,
    159,                   ,    300,     24,     41,       ,OPP    ,     23,   1.99,   2.48,     61,     41,    110,    136,   3.93,Part ch,       ,02/21/2022 10:36:00,02/21/2022 12:27:00,      0,
    158,                   ,    300,     24,     41,       ,OPP    ,     36,   2.02,   2.31,     75,     41,     24,     30,   0.86,Part ch,       ,02/21/2022 15:03:00,02/21/2022 15:28:00,      0,
    157,                   ,    300,     24,     41,       ,OPP    ,     33,   2.01,   2.49,     17,     41,    360,    230,   6.78,Full ch,DF7    ,02/21/2022 17:08:00,02/22/2022 05:16:00,   1280,
    156,                   ,    300,     24,     41,       ,OPP    ,     85,   2.12,   2.49,     16,     41,     28,     10,   0.30,Full ch,       ,02/22/2022 05:17:00,02/22/2022 05:45:00,      0,
    155,                   ,    300,     24,     41,       ,OPP    ,     21,   1.99,   2.48,     29,     41,     53,     40,   1.22,Full ch,       ,02/22/2022 05:59:00,02/22/2022 06:53:00,   8192,
    154,                   ,    300,     24,     41,       ,OPP    ,     58,   2.07,   2.49,     34,     41,    182,    150,   4.46,Full ch,       ,02/22/2022 11:48:00,02/22/2022 14:51:00,      0,
    153,                   ,    300,     24,     41,       ,OPP    ,     21,   1.99,   2.48,     38,     41,    300,    178,   5.37,Full ch,DF7    ,02/22/2022 23:22:00,02/23/2022 05:35:00,    256,
    152,                   ,    300,     24,     41,       ,OPP    ,     36,   2.02,   2.49,     33,     41,    316,    154,   4.64,Full ch,DF7    ,02/23/2022 23:10:00,02/24/2022 05:35:00,    256,
    151,                   ,    300,     24,     41,       ,OPP    ,     43,   2.03,   2.40,     75,     41,     95,    118,   3.40,Part ch,       ,02/24/2022 13:15:00,02/24/2022 14:50:00,      0,
    150,                   ,    300,     24,     41,       ,OPP    ,     35,   2.01,   2.49,     39,     41,    241,    146,   4.38,Full ch,DF7    ,02/24/2022 23:10:00,02/25/2022 05:31:00,    256,
    149,                   ,    300,     24,     41,       ,OPP    ,     49,   2.04,   2.49,     27,     41,     59,     40,   1.22,Full ch,       ,02/25/2022 10:55:00,02/25/2022 11:54:00,      0,
    148,                   ,    300,     24,     41,       ,OPP    ,     44,   2.03,   2.49,     36,     41,    225,    117,   3.51,Full ch,DF7    ,02/25/2022 22:55:00,02/26/2022 02:46:00,    256,
    147,                   ,    300,     24,     41,       ,EQUAL  ,     99,   2.16,   2.30,      7,     41,    479,     83,   2.35,Full ch,       ,02/26/2022 02:46:00,02/28/2022 05:26:00,      0,
    146,                   ,    300,     24,     41,       ,OPP    ,     35,   2.01,   2.48,     32,     41,     33,     23,   0.71,Full ch,       ,02/28/2022 07:45:00,02/28/2022 08:19:00,   8192,
    145,                   ,    300,     24,     41,       ,OPP    ,     22,   1.99,   2.49,     40,     41,    285,    175,   5.28,Full ch,DF7    ,02/28/2022 22:54:00,03/01/2022 05:11:00,    256,
    144,                   ,    300,     24,     41,       ,EQUAL  ,     80,   2.11,   3.45,      0,     41,     29,      5,   0.15,Full ch,DF5    ,03/01/2022 05:11:00,03/01/2022 05:41:00,    512,
    143,                   ,    300,     24,     41,       ,OPP    ,     49,   2.04,   2.49,     28,     41,     67,     46,   1.38,Part ch,       ,03/02/2022 10:11:00,03/02/2022 11:19:00,      0,
    142,                   ,    300,     24,     41,       ,OPP    ,     50,   2.05,   2.39,     75,     41,    116,    145,   4.13,Part ch,       ,03/19/2022 10:24:00,03/19/2022 12:20:00,      0,
    141,                   ,    300,     24,     41,       ,OPP    ,     89,   2.13,   2.47,     75,     41,     33,     41,   1.24,Part ch,       ,03/19/2022 12:33:00,03/19/2022 13:07:00,      0,
    140,                   ,    300,     24,     41,       ,OPP    ,     73,   2.10,   2.39,     75,     41,     25,     32,   0.92,Part ch,       ,03/19/2022 14:31:00,03/19/2022 14:57:00,      0,
    139,                   ,    300,     24,     41,       ,OPP    ,     63,   2.08,   2.44,     75,     41,     42,     52,   1.52,Part ch,       ,03/19/2022 20:27:00,03/19/2022 21:10:00,      0,
    138,                   ,    300,     24,     41,       ,OPP    ,     79,   2.11,   2.49,     15,     41,     18,      9,   0.28,Full ch,       ,03/20/2022 01:30:00,03/20/2022 01:53:00,      0,
    137,                   ,    300,     24,     41,       ,EQUAL  ,     99,   2.27,   2.47,      7,     41,    479,     83,   2.52,Full ch,       ,03/20/2022 01:53:00,03/20/2022 12:07:00,      0,
    136,                   ,    300,     24,     41,       ,OPP    ,     28,   2.00,   2.49,     67,     41,     44,     55,   1.63,Part ch,       ,03/20/2022 12:07:00,03/20/2022 12:52:00,      0,
    135,                   ,    300,     24,     41,       ,OPP    ,     58,   2.07,   2.49,     15,     41,     70,     57,   1.71,Full ch,       ,03/21/2022 01:42:00,03/21/2022 06:15:00,      0,
    134,                   ,    300,     24,     41,       ,OPP    ,      5,   1.94,   2.37,     74,     41,    254,    318,   9.15,Full ch,DF7    ,03/21/2022 09:40:00,03/21/2022 18:21:00,   5896,
    133,                   ,    300,     24,     41,       ,OPP    ,     65,   2.08,   2.37,     74,     41,     68,     85,   2.46,Part ch,DF5    ,03/21/2022 20:28:00,03/21/2022 21:36:00,    520,
    132,                   ,    300,     24,     41,       ,OPP    ,     55,   2.06,   2.38,     74,     41,    164,    205,   5.96,Full ch,DF7    ,03/22/2022 01:05:00,03/22/2022 05:32:00,   1800,
    131,                   ,    300,     24,     41,       ,OPP    ,     25,   2.00,   2.50,     15,     41,    170,    142,   4.19,Full ch,       ,03/23/2022 12:29:00,03/23/2022 16:45:00,      0,
    130,                   ,    300,     24,     41,       ,OPP    ,     67,   2.08,   2.41,     74,     41,    134,    168,   4.97,Full ch,DF7    ,03/23/2022 22:14:00,03/24/2022 04:52:00,   1800,
    129,                   ,    300,     24,     41,       ,OPP    ,     58,   2.07,   2.34,     75,     41,     17,     21,   0.61,Part ch,       ,03/24/2022 04:52:00,03/24/2022 05:10:00,      0,
    128,                   ,    300,     24,     41,       ,OPP    ,     55,   2.06,   2.40,     75,     41,     27,     34,   0.99,Part ch,       ,03/24/2022 05:12:00,03/24/2022 05:39:00,      0,
    127,                   ,    300,     24,     41,       ,OPP    ,     70,   2.09,   2.36,     75,     41,     25,     31,   0.89,Part ch,       ,03/24/2022 08:00:00,03/24/2022 08:26:00,      0,
    126,                   ,    300,     24,     41,       ,OPP    ,     49,   2.04,   2.34,     75,     41,     74,     92,   2.61,Part ch,       ,03/24/2022 09:22:00,03/24/2022 10:36:00,      0,
    125,                   ,    300,     24,     41,       ,OPP    ,     18,   1.98,   2.39,     74,     41,    254,    318,   9.18,Full ch,DF7    ,03/24/2022 12:25:00,03/24/2022 21:13:00,   1800,
    124,                   ,    300,     24,     41,       ,OPP    ,     38,   2.02,   2.31,     75,     41,     65,     81,   2.28,Part ch,       ,03/25/2022 05:16:00,03/25/2022 06:21:00,      0,
    123,                   ,    300,     24,     41,       ,OPP    ,     33,   2.01,   2.40,     74,     41,    270,    337,   9.86,Full ch,DF7    ,03/25/2022 13:24:00,03/25/2022 20:01:00,   1800,
    122,                   ,    300,     24,     41,       ,OPP    ,     55,   2.06,   2.40,     75,     41,     71,     89,   2.61,Part ch,       ,03/25/2022 20:02:00,03/25/2022 21:14:00,      0,
    121,                   ,    300,     24,     41,       ,OPP    ,     20,   1.99,   2.37,     75,     41,     48,     60,   1.71,Part ch,       ,03/26/2022 10:26:00,03/26/2022 11:14:00,      0,
    120,                   ,    300,     24,     41,       ,OPP    ,     73,   2.10,   2.39,     75,     41,      9,     11,   0.33,Part ch,       ,03/28/2022 05:01:00,03/28/2022 05:10:00,      0,
    119,                   ,    300,     24,     41,       ,OPP    ,     25,   2.00,   2.41,     74,     41,     48,     59,   1.76,Part ch,       ,03/28/2022 06:10:00,03/28/2022 06:59:00,      0,
    118,                   ,    300,     24,     41,       ,OPP    ,     39,   2.02,   2.50,     61,     41,      1,      1,   0.04,Part ch,       ,03/28/2022 07:35:00,03/28/2022 07:37:00,      0,
    117,                   ,    300,     24,     41,       ,OPP    ,      5,   1.95,   2.41,     74,     41,    204,    255,   7.44,Part ch,DF5    ,03/28/2022 11:16:00,03/28/2022 14:41:00,   4616,
    116,                   ,    300,     24,     41,       ,OPP    ,     57,   2.06,   2.28,     75,     41,      9,     11,   0.31,Part ch,       ,03/28/2022 14:41:00,03/28/2022 14:50:00,      0,
    115,                   ,    300,     24,     41,       ,OPP    ,     79,   2.11,   2.37,     74,     41,    134,    168,   4.87,Full ch,DF7    ,03/28/2022 14:51:00,03/28/2022 21:39:00,   1800,
    114,                   ,    300,     24,     41,       ,OPP    ,     69,   2.09,   2.49,     40,     41,     84,     93,   2.70,Part ch,       ,03/28/2022 23:48:00,03/29/2022 01:13:00,      0,
    113,                   ,    300,     24,     41,       ,OPP    ,      5,   1.88,   2.49,     17,     41,    308,    307,   8.87,Part ch,DF4    ,03/29/2022 04:25:00,03/29/2022 09:34:00,   4096,
    112,                   ,    300,     24,     41,       ,OPP    ,     29,   2.00,   2.49,     20,     41,    468,    268,   7.87,Full ch,       ,03/29/2022 10:45:00,03/29/2022 18:33:00,      0,
    111,                   ,    300,     24,     41,       ,OPP    ,     31,   2.01,   2.49,     24,     41,    345,    228,   6.67,Full ch,       ,03/29/2022 23:27:00,03/30/2022 05:12:00,      0,
    110,                   ,    300,     24,     41,       ,OPP    ,     29,   2.00,   2.48,     74,     41,     61,     76,   2.30,Full ch,DF7    ,03/30/2022 05:13:00,03/30/2022 07:15:00,   1280,
    109,                   ,    300,     24,     41,       ,OPP    ,      9,   1.97,   2.26,     74,     41,     21,     26,   0.72,Part ch,DF4    ,03/30/2022 08:49:00,03/30/2022 09:11:00,   4096,
    108,                   ,    300,     24,     41,       ,OPP    ,     36,   2.02,   2.31,     75,     41,     36,     45,   1.24,Part ch,       ,03/30/2022 09:22:00,03/30/2022 09:58:00,      0,
    107,                   ,    300,     24,     41,       ,OPP    ,     59,   2.07,   2.36,     75,     41,     41,     52,   1.47,Part ch,       ,03/30/2022 11:13:00,03/30/2022 11:56:00,      0,
    106,                   ,    300,     24,     41,       ,OPP    ,     14,   1.98,   2.32,     75,     41,     56,     70,   1.95,Part ch,       ,03/30/2022 12:34:00,03/30/2022 13:30:00,      0,
