Type               ,Version            ,S/N                ,Region             ,
LT24V160A          ,P3.4               ,PI504429           ,US                 ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    600,     68,OPP    ,      0,      0,    5.0,  2.250,    5.0,      4,      0,     64,    4.0,     25,     60,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   3431,  58813, -55382,   5845,     20,      0,     19,      0,    272,    309,  20323,    170,   2421,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,
    200,                   ,    600,     24,     69,       ,OPP    ,     64,   2.08,   2.43,     30,     69,     30,     28,   0.84,Full ch,       ,03/03/2022 13:47:00,03/03/2022 14:26:00,      0,
    199,                   ,    600,     24,     69,       ,OPP    ,     50,   2.05,   2.43,     30,     69,     58,     61,   1.78,Full ch,       ,03/03/2022 14:32:00,03/03/2022 15:30:00,      0,
    198,                   ,    600,     24,     69,       ,OPP    ,     62,   2.07,   2.43,     30,     69,     21,     16,   0.49,Full ch,       ,03/03/2022 16:29:00,03/03/2022 16:58:00,      0,
    197,                   ,    600,     24,     69,       ,OPP    ,     43,   2.03,   2.52,      0,     69,     24,     30,   0.85,Full ch,       ,03/03/2022 17:03:00,03/03/2022 17:28:00,  16384,
    196,                   ,    600,     24,     69,       ,OPP    ,     30,   2.01,   2.43,     30,     69,    105,    121,   3.48,Full ch,       ,03/03/2022 23:08:00,03/04/2022 07:08:00,      0,
    195,                   ,    600,     24,     69,       ,OPP    ,     43,   2.03,   2.32,     78,     69,      6,      8,   0.24,Part ch,       ,03/04/2022 08:36:00,03/04/2022 08:43:00,      0,
    194,                   ,    600,     24,     69,       ,OPP    ,     76,   2.10,   2.37,     78,     69,     22,     29,   0.84,Part ch,       ,03/04/2022 08:46:00,03/04/2022 09:09:00,      0,
    193,                   ,    600,     24,     69,       ,OPP    ,     51,   2.05,   2.38,     78,     69,     16,     20,   0.59,Part ch,       ,03/04/2022 09:44:00,03/04/2022 10:00:00,      0,
    192,                   ,    600,     24,     69,       ,OPP    ,     47,   2.04,   2.80,      0,     69,     24,     31,   0.88,Full ch,       ,03/04/2022 10:16:00,03/04/2022 10:41:00,  16384,
    191,                   ,    600,     24,     69,       ,OPP    ,     46,   2.04,   2.42,     44,     69,     52,     63,   1.82,Part ch,       ,03/04/2022 11:13:00,03/04/2022 12:06:00,      0,
    190,                   ,    600,     24,     69,       ,OPP    ,     51,   2.05,   2.43,     30,     69,     44,     41,   1.20,Full ch,       ,03/04/2022 14:21:00,03/04/2022 15:46:00,      0,
    189,                   ,    600,     24,     69,       ,OPP    ,     56,   2.06,   2.43,     30,     69,     23,     20,   0.60,Full ch,       ,03/04/2022 16:25:00,03/04/2022 16:58:00,      0,
    188,                   ,    600,     24,     69,       ,OPP    ,      5,   1.96,   2.43,     30,     69,    214,    255,   7.23,Full ch,DF4    ,03/04/2022 17:48:00,03/04/2022 23:41:00,   4096,
    187,                   ,    600,     24,     69,       ,OPP    ,     50,   2.05,   2.43,     30,     69,     80,     86,   2.50,Full ch,       ,03/05/2022 02:55:00,03/05/2022 07:18:00,      0,
    186,                   ,    600,     24,     69,       ,OPP    ,     44,   2.03,   2.37,     78,     69,     25,     33,   0.94,Part ch,       ,03/05/2022 09:41:00,03/05/2022 10:06:00,      0,
    185,                   ,    600,     24,     69,       ,OPP    ,     37,   2.02,   2.36,     79,     69,     22,     29,   0.85,Part ch,       ,03/05/2022 16:33:00,03/05/2022 16:56:00,      0,
    184,                   ,    600,     24,     69,       ,OPP    ,     99,   2.17,   2.44,     30,     69,     57,     57,   1.67,Full ch,       ,03/05/2022 16:57:00,03/05/2022 23:46:00,      0,
    183,                   ,    600,     24,     69,       ,OPP    ,     49,   2.04,   2.43,     30,     69,     45,     48,   1.39,Full ch,       ,03/06/2022 02:43:00,03/06/2022 03:34:00,      0,
    182,                   ,    600,     24,     69,       ,EQUAL  ,     99,   2.16,   2.48,     15,     69,    479,    167,   5.10,Full ch,       ,03/06/2022 03:34:00,03/07/2022 07:07:00,      0,
    181,                   ,    600,     24,     69,       ,OPP    ,     57,   2.07,   2.43,     62,     69,      8,     10,   0.30,Full ch,       ,03/07/2022 08:08:00,03/07/2022 08:17:00,      0,
    180,                   ,    600,     24,     69,       ,OPP    ,     41,   2.03,   2.43,     49,     69,     58,     73,   2.12,Part ch,       ,03/07/2022 11:14:00,03/07/2022 12:13:00,      0,
    179,                   ,    600,     24,     69,       ,OPP    ,     55,   2.06,   2.42,     30,     69,     47,     45,   1.33,Full ch,       ,03/07/2022 14:31:00,03/07/2022 15:39:00,      0,
    178,                   ,    600,     24,     69,       ,OPP    ,     57,   2.07,   2.43,     34,     69,     24,     24,   0.71,Part ch,       ,03/07/2022 16:34:00,03/07/2022 16:59:00,      0,
    177,                   ,    600,     24,     69,       ,OPP    ,     17,   1.98,   2.28,     79,     69,     42,     55,   1.52,Part ch,       ,03/07/2022 17:04:00,03/07/2022 17:47:00,      0,
    176,                   ,    600,     24,     69,       ,OPP    ,     58,   2.07,   2.43,     30,     69,     61,     64,   1.88,Full ch,       ,03/08/2022 01:22:00,03/08/2022 07:08:00,      0,
    175,                   ,    600,     24,     69,       ,OPP    ,     52,   2.06,   2.43,     30,     69,     51,     55,   1.60,Full ch,       ,03/08/2022 09:31:00,03/08/2022 10:44:00,      0,
    174,                   ,    600,     24,     69,       ,OPP    ,     64,   2.08,   2.43,     30,     69,     17,     14,   0.41,Full ch,       ,03/08/2022 11:12:00,03/08/2022 12:03:00,      0,
    173,                   ,    600,     24,     69,       ,OPP    ,     47,   2.04,   2.44,     30,     69,     60,     64,   1.88,Full ch,       ,03/08/2022 14:27:00,03/08/2022 15:39:00,      0,
    172,                   ,    600,     24,     69,       ,OPP    ,     62,   2.07,   2.43,     42,     69,     11,     11,   0.33,Part ch,       ,03/08/2022 16:43:00,03/08/2022 16:55:00,      0,
    171,                   ,    600,     24,     69,       ,OPP    ,     37,   2.02,   2.43,     30,     69,     93,    103,   2.99,Full ch,       ,03/08/2022 23:07:00,03/09/2022 07:07:00,      0,
    170,                   ,    600,     24,     69,       ,OPP    ,     36,   2.02,   2.35,     78,     69,     21,     27,   0.78,Part ch,       ,03/09/2022 09:44:00,03/09/2022 10:06:00,      0,
    169,                   ,    600,     24,     69,       ,OPP    ,     45,   2.03,   2.43,     53,     69,     66,     83,   2.42,Part ch,       ,03/09/2022 11:06:00,03/09/2022 12:13:00,      0,
    168,                   ,    600,     24,     69,       ,OPP    ,     54,   2.06,   2.43,     30,     69,     52,     49,   1.45,Full ch,       ,03/09/2022 14:24:00,03/09/2022 15:52:00,      0,
    167,                   ,    600,     24,     69,       ,OPP    ,     59,   2.07,   2.43,     30,     69,     22,     18,   0.55,Full ch,       ,03/09/2022 16:22:00,03/09/2022 17:01:00,      0,
    166,                   ,    600,     24,     69,       ,OPP    ,     35,   2.01,   2.36,     78,     69,     33,     43,   1.22,Part ch,       ,03/10/2022 10:08:00,03/10/2022 10:41:00,      0,
    165,                   ,    600,     24,     69,       ,OPP    ,     56,   2.06,   2.43,     55,     69,     51,     64,   1.87,Part ch,       ,03/10/2022 11:08:00,03/10/2022 12:00:00,      0,
    164,                   ,    600,     24,     69,       ,OPP    ,     43,   2.03,   2.43,     49,     69,     65,     80,   2.32,Part ch,       ,03/10/2022 14:40:00,03/10/2022 15:46:00,      0,
    163,                   ,    600,     24,     69,       ,OPP    ,     61,   2.07,   2.43,     37,     69,     31,     30,   0.88,Part ch,       ,03/10/2022 16:29:00,03/10/2022 17:01:00,      0,
    162,                   ,    600,     24,     69,       ,OPP    ,     30,   2.01,   2.44,     30,     69,    115,    128,   3.70,Full ch,       ,03/10/2022 22:48:00,03/11/2022 07:08:00,      0,
    161,                   ,    600,     24,     69,       ,OPP    ,     43,   2.03,   2.38,     78,     69,     27,     35,   1.01,Part ch,       ,03/11/2022 09:43:00,03/11/2022 10:11:00,      0,
    160,                   ,    600,     24,     69,       ,OPP    ,     53,   2.06,   2.43,     43,     69,     49,     57,   1.67,Part ch,       ,03/11/2022 11:13:00,03/11/2022 12:03:00,      0,
    159,                   ,    600,     24,     69,       ,OPP    ,     50,   2.05,   2.44,     30,     69,     44,     41,   1.20,Full ch,       ,03/11/2022 14:41:00,03/11/2022 15:36:00,      0,
    158,                   ,    600,     24,     69,       ,OPP    ,     46,   2.04,   2.43,     30,     69,    104,    113,   3.27,Full ch,       ,03/11/2022 16:10:00,03/11/2022 23:13:00,      0,
