Type               ,Version            ,S/N                ,Region             ,
LT24V160A          ,P3.4               ,PC503957           ,US                 ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    300,     70,OPP    ,      0,      0,    5.0,  2.250,   40.0,      4,      0,     64,    4.0,     50,     60,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   2885,   2295,    590,     61,      0,      0,      2,      0,     69,    707,     65,      0,      0,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,
    200,                   ,    300,     24,     69,       ,OPP    ,     83,   2.11,   2.43,     30,     69,    142,    146,   4.25,Full ch,       ,03/23/2022 12:54:00,03/23/2022 15:16:00,      0,
    199,                   ,    300,     24,     69,       ,OPP    ,     79,   2.11,   2.43,     22,     69,    102,     70,   2.05,Full ch,       ,03/23/2022 16:37:00,03/23/2022 18:20:00,      0,
    198,                   ,    300,     24,     69,       ,OPP    ,     46,   2.04,   2.29,     75,     69,     33,     41,   1.13,Part ch,       ,03/23/2022 18:28:00,03/23/2022 19:02:00,      0,
    197,                   ,    300,     24,     69,       ,OPP    ,      5,   1.80,   2.27,     75,     69,     63,     78,   2.12,Part ch,DF4    ,03/23/2022 19:26:00,03/23/2022 20:29:00,   4096,
    196,                   ,    300,     24,     69,       ,OPP    ,     68,   2.09,   2.34,     75,     69,     23,     29,   0.83,Part ch,       ,03/23/2022 21:47:00,03/23/2022 22:11:00,      0,
    195,                   ,    300,     24,     69,       ,OPP    ,     41,   2.03,   2.43,     15,     69,     89,     89,   2.53,Full ch,       ,03/24/2022 01:10:00,03/24/2022 06:07:00,      0,
    194,                   ,    300,     24,     69,       ,OPP    ,     89,   2.12,   2.43,     62,     69,     66,     65,   1.93,Part ch,       ,03/24/2022 06:15:00,03/24/2022 07:21:00,      0,
    193,                   ,    300,     24,     69,       ,OPP    ,     28,   2.00,   2.26,     75,     69,     17,     21,   0.58,Part ch,       ,03/24/2022 08:40:00,03/24/2022 08:57:00,      0,
    192,                   ,    300,     24,     69,       ,OPP    ,     22,   1.99,   2.24,     75,     69,      3,      3,   0.10,Part ch,       ,03/24/2022 10:15:00,03/24/2022 10:18:00,      0,
    191,                   ,    300,     24,     69,       ,OPP    ,     28,   2.00,   2.31,     75,     69,     42,     52,   1.46,Part ch,       ,03/24/2022 11:03:00,03/24/2022 11:46:00,      0,
    190,                   ,    300,     24,     69,       ,OPP    ,     57,   2.07,   2.34,     75,     69,     41,     51,   1.44,Part ch,       ,03/24/2022 12:10:00,03/24/2022 12:52:00,      0,
    189,                   ,    300,     24,     69,       ,OPP    ,     50,   2.05,   2.43,     75,     69,     41,     51,   1.47,Part ch,       ,03/24/2022 12:54:00,03/24/2022 13:36:00,      0,
    188,                   ,    300,     24,     69,       ,OPP    ,     54,   2.06,   2.43,     16,     69,    166,    118,   3.46,Full ch,       ,03/24/2022 15:29:00,03/24/2022 18:16:00,      0,
    187,                   ,    300,     24,     69,       ,OPP    ,     44,   2.03,   2.43,     15,     69,     73,     69,   1.98,Full ch,       ,03/24/2022 18:27:00,03/25/2022 00:52:00,      0,
    186,                   ,    300,     24,     69,       ,OPP    ,     39,   2.02,   2.43,     15,     69,    193,    157,   4.51,Full ch,       ,03/25/2022 00:53:00,03/25/2022 07:08:00,      0,
    185,                   ,    300,     24,     69,       ,OPP    ,     22,   1.99,   2.28,     75,     69,     23,     29,   0.79,Part ch,       ,03/25/2022 08:53:00,03/25/2022 09:16:00,      0,
    184,                   ,    300,     24,     69,       ,OPP    ,     36,   2.02,   2.35,     75,     69,     48,     60,   1.67,Part ch,       ,03/25/2022 10:06:00,03/25/2022 10:54:00,      0,
    183,                   ,    300,     24,     69,       ,OPP    ,     56,   2.06,   2.29,     75,     69,     19,     23,   0.65,Part ch,       ,03/25/2022 11:49:00,03/25/2022 12:09:00,      0,
    182,                   ,    300,     24,     69,       ,OPP    ,     77,   2.10,   2.34,     75,     69,     37,     46,   1.29,Part ch,       ,03/25/2022 12:15:00,03/25/2022 12:52:00,      0,
    181,                   ,    300,     24,     69,       ,OPP    ,     28,   2.00,   2.43,     75,     69,    113,    141,   3.97,Part ch,       ,03/25/2022 14:19:00,03/25/2022 16:12:00,      0,
    180,                   ,    300,     24,     69,       ,OPP    ,     46,   2.04,   2.43,     47,     69,    479,    450,  12.97,Full ch,DF5    ,03/26/2022 00:22:00,03/27/2022 00:04:00,   2048,
    179,                   ,       ,     24,     69,       ,EQUAL  ,     68,   2.09,   2.21,      7,     69,    479,     83,   2.26,Full ch,       ,03/27/2022 00:04:00,03/28/2022 06:11:00,      0,
    178,                   ,    300,     24,     69,       ,OPP    ,     49,   2.04,   2.33,     75,     69,     31,     38,   1.08,Part ch,       ,03/28/2022 08:47:00,03/28/2022 09:18:00,      0,
    177,                   ,    300,     24,     69,       ,OPP    ,     13,   1.97,   2.30,     75,     69,     37,     47,   1.30,Part ch,       ,03/28/2022 10:15:00,03/28/2022 10:53:00,      0,
    176,                   ,    300,     24,     69,       ,OPP    ,     49,   2.04,   2.43,     68,     69,    102,    128,   3.65,Part ch,       ,03/28/2022 11:10:00,03/28/2022 12:53:00,      0,
    175,                   ,    300,     24,     69,       ,OPP    ,     16,   1.98,   2.33,     75,     69,     57,     72,   2.01,Part ch,       ,03/28/2022 13:28:00,03/28/2022 14:26:00,      0,
    174,                   ,    300,     24,     69,       ,OPP    ,     63,   2.08,   2.24,     75,     69,      2,      2,   0.06,Part ch,       ,03/28/2022 15:15:00,03/28/2022 15:17:00,      0,
    173,                   ,    300,     24,     69,       ,OPP    ,     41,   2.03,   2.43,     15,     69,    120,    115,   3.30,Full ch,       ,03/28/2022 15:32:00,03/28/2022 17:48:00,      0,
    172,                   ,    300,     24,     69,       ,OPP    ,     58,   2.07,   2.43,     15,     69,     18,     10,   0.30,Full ch,       ,03/28/2022 18:23:00,03/28/2022 23:00:00,      0,
    171,                   ,    300,     24,     69,       ,OPP    ,     58,   2.07,   2.44,     15,     69,      4,      2,   0.06,Full ch,       ,03/28/2022 23:27:00,03/29/2022 01:05:00,      0,
    170,                   ,    300,     24,     69,       ,OPP    ,     52,   2.06,   2.43,     40,     69,    350,    313,   9.04,Part ch,       ,03/29/2022 01:05:00,03/29/2022 06:56:00,      0,
    169,                   ,    300,     24,     69,       ,OPP    ,     33,   2.01,   2.29,     75,     69,     12,     16,   0.44,Part ch,       ,03/29/2022 08:41:00,03/29/2022 08:54:00,      0,
    168,                   ,    300,     24,     69,       ,OPP    ,     23,   1.99,   2.33,     75,     69,     42,     53,   1.48,Part ch,       ,03/29/2022 10:14:00,03/29/2022 10:57:00,      0,
    167,                   ,    300,     24,     69,       ,OPP    ,     83,   2.11,   2.43,     22,     69,     40,     28,   0.81,Full ch,       ,03/29/2022 12:14:00,03/29/2022 12:54:00,      0,
    166,                   ,    300,     24,     69,       ,OPP    ,     21,   1.99,   2.34,     75,     69,     60,     76,   2.11,Part ch,       ,03/29/2022 13:27:00,03/29/2022 14:29:00,      0,
    165,                   ,    300,     24,     69,       ,OPP    ,     50,   2.05,   2.43,     15,     69,     99,     86,   2.48,Full ch,       ,03/29/2022 15:20:00,03/30/2022 06:02:00,      0,
    164,                   ,    300,     24,     69,       ,OPP    ,     78,   2.10,   2.43,     20,     69,     92,     45,   1.34,Full ch,       ,03/30/2022 06:07:00,03/30/2022 07:39:00,      0,
    163,                   ,    300,     24,     69,       ,OPP    ,     20,   1.99,   2.25,     75,     69,      8,     10,   0.27,Part ch,       ,03/30/2022 08:37:00,03/30/2022 08:45:00,      0,
    162,                   ,    300,     24,     69,       ,OPP    ,     14,   1.98,   2.29,     75,     69,     71,     89,   2.42,Part ch,       ,03/30/2022 09:42:00,03/30/2022 10:54:00,      0,
    161,                   ,    300,     24,     69,       ,OPP    ,     95,   2.14,   2.43,     15,     69,    159,    140,   4.05,Full ch,       ,03/30/2022 10:55:00,03/30/2022 14:22:00,      0,
    160,                   ,    300,     24,     69,       ,OPP    ,     46,   2.04,   2.30,     75,     69,     71,     89,   2.47,Part ch,       ,03/30/2022 14:22:00,03/30/2022 15:34:00,      0,
    159,                   ,    300,     24,     69,       ,OPP    ,     46,   2.04,   2.43,     28,     69,    202,    222,   6.36,Full ch,       ,03/30/2022 17:47:00,03/30/2022 21:10:00,      0,
    158,                   ,    300,     24,     69,       ,OPP    ,     62,   2.07,   2.43,     30,     69,    125,    130,   3.73,Full ch,       ,03/31/2022 00:39:00,03/31/2022 02:44:00,      0,
    157,                   ,    300,     24,     69,       ,OPP    ,     78,   2.10,   2.43,     18,     69,    196,    107,   3.13,Full ch,       ,03/31/2022 03:24:00,03/31/2022 06:40:00,      0,
    156,                   ,    300,     24,     69,       ,OPP    ,     41,   2.03,   2.43,     55,     69,     50,     62,   1.77,Full ch,       ,03/31/2022 07:23:00,03/31/2022 08:14:00,      0,
    155,                   ,    300,     24,     69,       ,OPP    ,     63,   2.08,   2.43,     25,     69,     22,     17,   0.52,Full ch,       ,03/31/2022 08:38:00,03/31/2022 09:01:00,      0,
    154,                   ,    300,     24,     69,       ,OPP    ,     19,   1.98,   2.42,     74,     69,     62,     77,   2.27,Full ch,DF7    ,03/31/2022 09:29:00,03/31/2022 12:14:00,   1280,
    153,                   ,    300,     24,     69,       ,OPP    ,     58,   2.07,   2.34,     75,     69,     42,     53,   1.49,Part ch,       ,03/31/2022 12:15:00,03/31/2022 12:58:00,      0,
    152,                   ,    300,     24,     69,       ,OPP    ,     50,   2.05,   2.42,     74,     69,     81,    101,   2.98,Full ch,DF7    ,03/31/2022 12:58:00,04/01/2022 00:30:00,   1280,
    151,                   ,    300,     24,     69,       ,OPP    ,      6,   1.96,   2.42,     64,     69,    166,    206,   5.79,Part ch,DF4    ,04/01/2022 00:30:00,04/01/2022 03:17:00,   4096,
    150,                   ,    300,     24,     69,       ,OPP    ,      5,   1.94,   2.42,     74,     69,     61,     76,   2.23,Full ch,DF7    ,04/01/2022 03:18:00,04/02/2022 08:06:00,   5376,
    149,                   ,    300,     24,     69,       ,OPP    ,     37,   2.02,   2.41,     74,     69,     60,     74,   2.18,Full ch,DF7    ,04/02/2022 08:09:00,04/03/2022 00:04:00,   1280,
    148,                   ,       ,     24,     69,       ,EQUAL  ,      5,   1.92,   2.11,      7,     69,    479,     83,   2.15,Full ch,       ,04/03/2022 00:04:00,04/04/2022 05:47:00,      0,
    147,                   ,    300,     24,     69,       ,OPP    ,     58,   2.07,   2.43,     49,     69,     18,     18,   0.55,Part ch,       ,04/04/2022 05:47:00,04/04/2022 06:06:00,      0,
    146,                   ,    300,     24,     69,       ,OPP    ,      5,   1.92,   2.41,     74,     69,     60,     74,   2.17,Full ch,DF7    ,04/04/2022 06:27:00,04/04/2022 08:34:00,   5376,
    145,                   ,    300,     24,     69,       ,OPP    ,     55,   2.06,   2.33,     75,     69,     15,     19,   0.54,Part ch,       ,04/04/2022 08:34:00,04/04/2022 08:50:00,      0,
    144,                   ,    300,     24,     69,       ,OPP    ,     16,   1.98,   2.41,     75,     69,      8,     10,   0.29,Part ch,       ,04/04/2022 08:50:00,04/04/2022 08:59:00,      0,
    143,                   ,    300,     24,     69,       ,OPP    ,     41,   2.03,   2.36,     75,     69,     17,     21,   0.61,Part ch,       ,04/04/2022 08:59:00,04/04/2022 09:17:00,      0,
    142,                   ,    300,     24,     69,       ,OPP    ,     36,   2.02,   2.36,     75,     69,     33,     41,   1.17,Part ch,       ,04/04/2022 10:23:00,04/04/2022 10:56:00,      0,
    141,                   ,    300,     24,     69,       ,OPP    ,      9,   1.97,   2.40,     75,     69,     37,     47,   1.37,Part ch,DF4    ,04/04/2022 10:57:00,04/04/2022 11:35:00,   4096,
    140,                   ,    300,     24,     69,       ,OPP    ,     16,   1.98,   2.37,     74,     69,    194,    243,   7.06,Full ch,DF7    ,04/04/2022 11:42:00,04/04/2022 15:58:00,   1800,
    139,                   ,    300,     24,     69,       ,OPP    ,     48,   2.04,   2.43,     15,     69,    125,    108,   3.11,Full ch,       ,04/04/2022 16:10:00,04/04/2022 20:29:00,      0,
