Type               ,Version            ,S/N                ,Region             ,
LT24V240A          ,P3.6               ,RWB342380          ,US                 ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    750,     77,OPP    ,      0,      0,    5.0,  2.250,   34.0,      6,      0,     64,    3.4,     95,      0,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
     82,     14,     68,      5,      0,      0,      0,      0,      0,      1,      0,      0,     67,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,
     87,                   ,    750,     48,     77,       ,OPP    ,     24,   1.99,   2.27,    180,     77,      2,      6,   0.33,Full ch,       ,02/15/2022 09:48:00,02/15/2022 09:54:00,      0,
     86,                   ,    750,     24,     77,       ,OPP    ,     40,   2.02,   2.42,    185,     77,     24,     77,   2.25,Part ch,       ,03/15/2022 16:07:00,03/15/2022 16:32:00,      0,
     85,                   ,    750,     24,     77,       ,OPP    ,      9,   1.97,   2.36,    187,     77,     32,     99,   2.84,Part ch,DF4    ,03/15/2022 21:29:00,03/15/2022 22:01:00,   4096,
     84,                   ,    750,     24,     77,       ,OPP    ,     24,   1.99,   2.42,     38,     77,    130,    289,   8.44,Full ch,       ,03/16/2022 00:32:00,03/16/2022 06:53:00,      0,
     83,                   ,    750,     24,     77,       ,OPP    ,     63,   2.08,   2.42,     38,     77,      9,     11,   0.32,Full ch,       ,03/16/2022 11:37:00,03/16/2022 11:51:00,      0,
     82,                   ,    750,     24,     77,       ,OPP    ,     25,   2.00,   2.41,    182,     77,     35,    109,   3.16,Part ch,       ,03/16/2022 21:26:00,03/16/2022 22:01:00,      0,
     81,                   ,    750,     24,     77,       ,OPP    ,     34,   2.01,   2.41,     38,     77,     94,    194,   5.68,Full ch,       ,03/17/2022 00:30:00,03/17/2022 08:13:00,      0,
     80,                   ,    750,     24,     77,       ,OPP    ,     88,   2.12,   2.42,     38,     77,      3,      2,   0.07,Full ch,       ,03/17/2022 08:13:00,03/17/2022 16:32:00,      0,
     79,                   ,    750,     24,     77,       ,OPP    ,     33,   2.01,   2.42,    157,     77,     34,    105,   3.06,Part ch,       ,03/17/2022 21:27:00,03/17/2022 22:02:00,      0,
     78,                   ,    750,     24,     77,       ,OPP    ,     41,   2.03,   2.42,     38,     77,     73,    142,   4.17,Full ch,       ,03/18/2022 00:33:00,03/20/2022 00:04:00,      0,
     77,                   ,    750,     24,     77,       ,EQUAL  ,     80,   2.11,   2.59,     18,     77,    599,    276,   8.75,Full ch,       ,03/20/2022 00:04:00,03/21/2022 14:57:00,      0,
     76,                   ,    750,     24,     77,       ,OPP    ,     62,   2.07,   2.42,     85,     77,     35,     75,   2.20,Full ch,       ,03/22/2022 13:12:00,03/22/2022 13:48:00,      0,
     75,                   ,    750,     24,     77,       ,OPP    ,     60,   2.07,   2.42,     38,     77,     18,     22,   0.66,Full ch,       ,03/22/2022 16:07:00,03/23/2022 07:02:00,      0,
     74,                   ,    750,     24,     77,       ,OPP    ,     57,   2.06,   2.42,     38,     77,     58,     86,   2.53,Full ch,       ,03/23/2022 20:38:00,03/24/2022 07:02:00,      0,
     73,                   ,    750,     24,     77,       ,OPP    ,     83,   2.11,   2.43,     59,     77,      1,      1,   0.03,Full ch,       ,03/24/2022 10:27:00,03/24/2022 10:50:00,      0,
     72,                   ,    750,     24,     77,       ,OPP    ,     50,   2.05,   2.42,    104,     77,     38,     91,   2.70,Full ch,       ,03/24/2022 13:09:00,03/24/2022 13:48:00,      0,
     71,                   ,    750,     24,     77,       ,OPP    ,     60,   2.07,   2.41,     38,     77,     34,     55,   1.63,Full ch,       ,03/24/2022 15:42:00,03/25/2022 07:50:00,      0,
     70,                   ,    750,     24,     77,       ,OPP    ,     59,   2.07,   2.41,     38,     77,     25,     31,   0.92,Full ch,       ,03/28/2022 19:58:00,03/30/2022 09:20:00,      0,
     69,                   ,    750,     24,     77,       ,OPP    ,     95,   2.14,   2.43,     45,     77,      1,      1,   0.02,Full ch,       ,03/30/2022 23:32:00,03/30/2022 23:34:00,      0,
     68,                   ,    750,     24,     77,       ,OPP    ,     82,   2.11,   2.42,     38,     77,     51,     61,   1.78,Full ch,       ,03/31/2022 14:50:00,04/01/2022 06:01:00,      0,
     67,                   ,    750,     24,     77,       ,OPP    ,     64,   2.08,   2.41,     38,     77,     50,     67,   1.98,Full ch,       ,04/01/2022 14:53:00,04/03/2022 00:04:00,      0,
     66,                   ,    750,     24,     77,       ,EQUAL  ,     95,   2.14,   2.64,     18,     77,    599,    276,   8.95,Full ch,       ,04/03/2022 00:04:00,04/04/2022 06:07:00,      0,
     65,                   ,    750,     24,     77,       ,OPP    ,     68,   2.09,   2.42,     38,     77,     47,     62,   1.81,Full ch,       ,04/04/2022 15:09:00,04/05/2022 06:01:00,      0,
     64,                   ,    750,     24,     77,       ,OPP    ,     71,   2.09,   2.42,     46,     77,     35,     50,   1.46,Full ch,       ,04/05/2022 12:11:00,04/05/2022 12:46:00,      0,
     63,                   ,    750,     24,     77,       ,OPP    ,     62,   2.07,   2.33,    187,     77,      1,      4,   0.12,Part ch,       ,04/05/2022 14:51:00,04/05/2022 14:53:00,      0,
     62,                   ,    750,     24,     77,       ,OPP    ,     62,   2.07,   2.42,     38,     77,     63,     92,   2.72,Full ch,       ,04/05/2022 14:55:00,04/06/2022 06:01:00,      0,
     61,                   ,    750,     24,     77,       ,OPP    ,     81,   2.11,   2.42,     38,     77,     16,     18,   0.52,Full ch,       ,04/06/2022 08:11:00,04/06/2022 08:30:00,      0,
     60,                   ,    750,     24,     77,       ,OPP    ,     61,   2.07,   2.42,     77,     77,     36,     67,   1.99,Full ch,       ,04/06/2022 12:15:00,04/06/2022 12:52:00,      0,
     59,                   ,    750,     24,     77,       ,OPP    ,     65,   2.08,   2.41,     37,     77,     60,     80,   2.35,Full ch,       ,04/06/2022 14:59:00,04/07/2022 06:00:00,      0,
     58,                   ,    750,     24,     77,       ,OPP    ,     67,   2.08,   2.42,     73,     77,     20,     35,   1.05,Full ch,       ,04/07/2022 08:02:00,04/07/2022 08:22:00,      0,
     57,                   ,    750,     24,     77,       ,OPP    ,     51,   2.05,   2.42,    100,     77,     36,     76,   2.25,Part ch,       ,04/07/2022 12:15:00,04/07/2022 12:52:00,      0,
     56,                   ,    750,     24,     77,       ,OPP    ,     61,   2.07,   2.41,     37,     77,     80,    114,   3.35,Full ch,       ,04/07/2022 14:52:00,04/07/2022 16:12:00,      0,
     55,                   ,    750,     24,     77,       ,OPP    ,     50,   2.05,   2.41,    100,     77,     38,     85,   2.52,Full ch,       ,04/09/2022 12:14:00,04/09/2022 12:53:00,      0,
     54,                   ,    750,     24,     77,       ,OPP    ,     69,   2.09,   2.41,     38,     77,     64,     95,   2.78,Full ch,       ,04/09/2022 14:49:00,04/10/2022 00:04:00,      0,
     53,                   ,    750,     24,     77,       ,EQUAL  ,     99,   2.15,   2.63,     18,     77,    599,    276,   8.96,Full ch,       ,04/10/2022 00:04:00,04/11/2022 06:01:00,      0,
     52,                   ,    750,     24,     77,       ,OPP    ,     70,   2.09,   2.42,     62,     77,     21,     33,   0.98,Full ch,       ,04/11/2022 07:54:00,04/11/2022 08:16:00,      0,
     51,                   ,    750,     24,     77,       ,OPP    ,     76,   2.10,   2.42,    104,     77,     25,     53,   1.57,Full ch,       ,04/11/2022 12:24:00,04/11/2022 12:50:00,      0,
     50,                   ,    750,     24,     77,       ,OPP    ,     55,   2.06,   2.42,     38,     77,     93,    160,   4.73,Full ch,       ,04/11/2022 16:52:00,04/12/2022 06:01:00,      0,
     49,                   ,    750,     24,     77,       ,OPP    ,     48,   2.04,   2.42,    122,     77,     38,     97,   2.87,Full ch,       ,04/12/2022 12:10:00,04/12/2022 12:48:00,      0,
     48,                   ,    750,     24,     77,       ,OPP    ,     57,   2.07,   2.42,     38,     77,     87,    150,   4.41,Full ch,       ,04/12/2022 15:22:00,04/13/2022 06:00:00,      0,
     47,                   ,    750,     24,     77,       ,OPP    ,     85,   2.12,   2.41,     44,     77,      2,      2,   0.07,Full ch,       ,04/13/2022 06:13:00,04/13/2022 07:15:00,      0,
     46,                   ,    750,     24,     77,       ,OPP    ,     83,   2.11,   2.42,     38,     77,     18,     23,   0.68,Full ch,       ,04/13/2022 08:02:00,04/13/2022 08:22:00,      0,
     45,                   ,    750,     24,     77,       ,OPP    ,     60,   2.07,   2.42,    100,     77,     33,     76,   2.24,Part ch,       ,04/13/2022 12:17:00,04/13/2022 12:51:00,      0,
     44,                   ,    750,     24,     77,       ,OPP    ,     67,   2.08,   2.42,     90,     77,     28,     57,   1.68,Part ch,       ,04/13/2022 14:51:00,04/13/2022 15:20:00,      0,
     43,                   ,    750,     24,     77,       ,OPP    ,     99,   2.23,   2.42,     38,     77,     41,     43,   1.28,Full ch,       ,04/13/2022 15:20:00,04/14/2022 06:01:00,      0,
