Type               ,Version            ,S/N                ,Region             ,
LT24V240A          ,P3.6               ,RWB342382          ,US                 ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    750,     77,OPP    ,      0,      0,    5.0,  2.250,   34.0,      6,      0,     64,    3.4,     95,      0,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
    119,     65,     54,      6,      0,      0,      0,      0,      0,      2,      0,      0,    113,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,
    125,                   ,    750,     48,     77,       ,OPP    ,     24,   1.99,   2.27,    180,     77,      2,      6,   0.34,Full ch,       ,02/15/2022 09:56:00,02/15/2022 10:34:00,      0,
    124,                   ,    750,     24,     77,       ,OPP    ,     42,   2.03,   2.42,    134,     77,     32,     93,   2.72,Part ch,       ,03/15/2022 21:31:00,03/15/2022 22:03:00,      0,
    123,                   ,    750,     24,     77,       ,OPP    ,     46,   2.04,   2.42,     38,     77,     72,    133,   3.91,Full ch,       ,03/16/2022 00:32:00,03/16/2022 07:15:00,      0,
    122,                   ,    750,     24,     77,       ,OPP    ,     51,   2.05,   2.42,     91,     77,     37,     94,   2.77,Part ch,       ,03/16/2022 11:28:00,03/16/2022 12:06:00,      0,
    121,                   ,    750,     24,     77,       ,OPP    ,     87,   2.12,   2.42,     45,     77,      1,      1,   0.02,Full ch,       ,03/16/2022 13:20:00,03/16/2022 13:55:00,      0,
    120,                   ,    750,     24,     77,       ,OPP    ,     57,   2.06,   2.41,     51,     77,     37,     63,   1.87,Part ch,       ,03/16/2022 15:55:00,03/16/2022 16:32:00,      0,
    119,                   ,    750,     24,     77,       ,OPP    ,     99,   2.23,   2.42,     37,     77,     11,      8,   0.25,Full ch,       ,03/16/2022 16:32:00,03/17/2022 07:02:00,      0,
    118,                   ,    750,     24,     77,       ,OPP    ,     56,   2.06,   2.42,     37,     77,     68,    112,   3.29,Full ch,       ,03/17/2022 15:54:00,03/18/2022 07:03:00,      0,
    117,                   ,    750,     24,     77,       ,OPP    ,     56,   2.06,   2.42,     38,     77,     47,     68,   2.01,Full ch,       ,03/18/2022 15:56:00,03/20/2022 00:04:00,      0,
    116,                   ,    750,     24,     77,       ,EQUAL  ,     87,   2.12,   2.60,     18,     77,    599,    276,   8.75,Full ch,       ,03/20/2022 00:04:00,03/21/2022 07:02:00,      0,
    115,                   ,    750,     24,     77,       ,OPP    ,     70,   2.09,   2.42,     38,     77,     66,    108,   3.19,Full ch,       ,03/21/2022 15:53:00,03/22/2022 08:05:00,      0,
    114,                   ,    750,     24,     77,       ,OPP    ,     76,   2.10,   2.42,     39,     77,     13,     17,   0.51,Full ch,       ,03/22/2022 08:58:00,03/22/2022 09:18:00,      0,
    113,                   ,    750,     24,     77,       ,OPP    ,     57,   2.06,   2.42,     82,     77,     35,     79,   2.33,Part ch,       ,03/22/2022 13:17:00,03/22/2022 13:52:00,      0,
    112,                   ,    750,     24,     77,       ,OPP    ,     79,   2.11,   2.42,     38,     77,     36,     43,   1.27,Full ch,       ,03/22/2022 15:03:00,03/22/2022 16:35:00,      0,
    111,                   ,    750,     24,     77,       ,OPP    ,     44,   2.03,   2.42,    138,     77,     36,    105,   3.08,Part ch,       ,03/22/2022 21:26:00,03/22/2022 22:02:00,      0,
    110,                   ,    750,     24,     77,       ,OPP    ,     50,   2.05,   2.42,     38,     77,     80,    145,   4.27,Full ch,       ,03/23/2022 00:30:00,03/23/2022 07:03:00,      0,
    109,                   ,    750,     24,     77,       ,OPP    ,     72,   2.09,   2.42,     49,     77,     19,     31,   0.90,Part ch,       ,03/23/2022 08:56:00,03/23/2022 09:16:00,      0,
    108,                   ,    750,     24,     77,       ,OPP    ,     64,   2.08,   2.42,     42,     77,     34,     52,   1.54,Part ch,       ,03/23/2022 11:58:00,03/23/2022 12:32:00,      0,
    107,                   ,    750,     24,     77,       ,OPP    ,     51,   2.05,   2.42,     83,     77,     38,     87,   2.56,Full ch,       ,03/23/2022 13:12:00,03/23/2022 13:51:00,      0,
    106,                   ,    750,     24,     77,       ,OPP    ,     54,   2.06,   2.41,     57,     77,     44,     93,   2.75,Part ch,       ,03/23/2022 15:48:00,03/23/2022 16:32:00,      0,
    105,                   ,    750,     24,     77,       ,OPP    ,     39,   2.02,   2.42,    156,     77,     35,    107,   3.15,Part ch,       ,03/23/2022 21:28:00,03/23/2022 22:04:00,      0,
    104,                   ,    750,     24,     77,       ,OPP    ,     50,   2.05,   2.41,     37,     77,     90,    161,   4.72,Full ch,       ,03/24/2022 00:47:00,03/24/2022 07:02:00,      0,
    103,                   ,    750,     24,     77,       ,OPP    ,     73,   2.09,   2.42,     56,     77,     19,     30,   0.88,Full ch,       ,03/24/2022 09:00:00,03/24/2022 09:20:00,      0,
    102,                   ,    750,     24,     77,       ,OPP    ,     62,   2.07,   2.42,     59,     77,     32,     60,   1.77,Part ch,       ,03/24/2022 10:50:00,03/24/2022 11:22:00,      0,
    101,                   ,    750,     24,     77,       ,OPP    ,     59,   2.07,   2.42,     39,     77,     39,     70,   2.07,Full ch,       ,03/24/2022 13:09:00,03/24/2022 13:49:00,      0,
    100,                   ,    750,     24,     77,       ,OPP    ,     56,   2.06,   2.42,     37,     77,     56,     89,   2.62,Full ch,       ,03/24/2022 15:01:00,03/24/2022 16:38:00,      0,
     99,                   ,    750,     24,     77,       ,OPP    ,     45,   2.03,   2.42,    122,     77,     38,    106,   3.13,Part ch,       ,03/24/2022 21:27:00,03/24/2022 22:05:00,      0,
     98,                   ,    750,     24,     77,       ,OPP    ,     51,   2.05,   2.42,     37,     77,     73,    125,   3.66,Full ch,       ,03/25/2022 00:31:00,03/25/2022 07:04:00,      0,
     97,                   ,    750,     24,     77,       ,OPP    ,     50,   2.04,   2.42,    100,     77,     37,     93,   2.75,Part ch,       ,03/25/2022 12:54:00,03/25/2022 13:31:00,      0,
     96,                   ,    750,     24,     77,       ,OPP    ,     58,   2.07,   2.42,     37,     77,     59,     92,   2.71,Full ch,       ,03/25/2022 15:47:00,03/27/2022 00:04:00,      0,
     95,                   ,    750,     24,     77,       ,EQUAL  ,     90,   2.13,   2.59,     18,     77,    599,    276,   8.81,Full ch,       ,03/27/2022 00:04:00,03/28/2022 13:01:00,      0,
     94,                   ,    750,     24,     77,       ,OPP    ,     58,   2.07,   2.42,     97,     77,     37,     79,   2.34,Full ch,       ,03/28/2022 13:10:00,03/28/2022 13:48:00,      0,
     93,                   ,    750,     24,     77,       ,OPP    ,     63,   2.08,   2.42,     92,     77,     37,     83,   2.44,Full ch,       ,03/28/2022 15:57:00,03/28/2022 16:36:00,      0,
     92,                   ,    750,     24,     77,       ,OPP    ,     48,   2.04,   2.42,    134,     77,     36,     99,   2.93,Part ch,       ,03/28/2022 21:26:00,03/28/2022 22:03:00,      0,
     91,                   ,    750,     24,     77,       ,OPP    ,     65,   2.08,   2.42,     38,     77,     78,    129,   3.79,Full ch,       ,03/29/2022 00:19:00,03/29/2022 11:20:00,      0,
     90,                   ,    750,     24,     77,       ,OPP    ,     49,   2.04,   2.42,    124,     77,     36,     99,   2.93,Part ch,       ,03/29/2022 21:26:00,03/29/2022 22:03:00,      0,
     89,                   ,    750,     24,     77,       ,OPP    ,     55,   2.06,   2.42,     38,     77,     77,    137,   4.03,Full ch,       ,03/30/2022 00:40:00,03/30/2022 07:02:00,      0,
     88,                   ,    750,     24,     77,       ,OPP    ,     75,   2.10,   2.41,     53,     77,     23,     37,   1.08,Part ch,       ,03/30/2022 08:56:00,03/30/2022 09:20:00,      0,
     87,                   ,    750,     24,     77,       ,OPP    ,     57,   2.06,   2.41,     93,     77,     34,     79,   2.33,Part ch,       ,03/30/2022 12:11:00,03/30/2022 12:46:00,      0,
     86,                   ,    750,     24,     77,       ,OPP    ,     63,   2.08,   2.42,     71,     77,     36,     67,   1.98,Part ch,       ,03/30/2022 15:03:00,03/30/2022 15:39:00,      0,
     85,                   ,    750,     24,     77,       ,OPP    ,     42,   2.03,   2.42,    130,     77,     37,    105,   3.10,Part ch,       ,03/30/2022 20:27:00,03/30/2022 21:05:00,      0,
     84,                   ,    750,     24,     77,       ,OPP    ,     59,   2.07,   2.42,     38,     77,     16,     20,   0.59,Full ch,       ,03/30/2022 23:36:00,03/31/2022 15:31:00,      0,
     83,                   ,    750,     24,     77,       ,OPP    ,     38,   2.02,   2.42,    131,     77,     36,    100,   2.97,Part ch,       ,03/31/2022 20:29:00,03/31/2022 21:05:00,      0,
     82,                   ,    750,     24,     77,       ,OPP    ,     52,   2.06,   2.42,     38,     77,     71,    124,   3.63,Full ch,       ,03/31/2022 23:44:00,04/01/2022 07:47:00,      0,
     81,                   ,    750,     24,     77,       ,OPP    ,     50,   2.05,   2.42,     38,     77,     54,     98,   2.90,Full ch,       ,04/01/2022 14:28:00,04/03/2022 00:04:00,      0,
     80,                   ,    750,     24,     77,       ,EQUAL  ,     86,   2.12,   2.61,     18,     77,    599,    276,   8.88,Full ch,       ,04/03/2022 00:04:00,04/04/2022 06:08:00,      0,
     79,                   ,    750,     24,     77,       ,OPP    ,     55,   2.06,   2.42,    146,     77,      3,      8,   0.24,Part ch,       ,04/04/2022 18:41:00,04/04/2022 18:44:00,      0,
     78,                   ,    750,     24,     77,       ,OPP    ,     37,   2.02,   2.42,     38,     77,    101,    212,   6.25,Full ch,       ,04/04/2022 23:41:00,04/05/2022 12:04:00,      0,
     77,                   ,    750,     24,     77,       ,OPP    ,     90,   2.13,   2.42,     61,     77,     38,     75,   2.20,Part ch,       ,04/05/2022 14:57:00,04/05/2022 15:36:00,      0,
     76,                   ,    750,     24,     77,       ,OPP    ,     49,   2.04,   2.42,    133,     77,     34,     97,   2.87,Part ch,       ,04/05/2022 20:57:00,04/05/2022 21:32:00,      0,
     75,                   ,    750,     24,     77,       ,OPP    ,     52,   2.06,   2.42,     37,     77,     78,    134,   3.93,Full ch,       ,04/05/2022 23:44:00,04/06/2022 06:17:00,      0,
     74,                   ,    750,     24,     77,       ,OPP    ,     59,   2.07,   2.42,     38,     77,     49,     77,   2.26,Full ch,       ,04/06/2022 15:37:00,04/06/2022 20:40:00,      0,
     73,                   ,    750,     24,     77,       ,OPP    ,     50,   2.05,   2.41,     38,     77,     50,     89,   2.61,Full ch,       ,04/06/2022 23:34:00,04/07/2022 15:35:00,      0,
     72,                   ,    750,     24,     77,       ,OPP    ,     44,   2.03,   2.42,    118,     77,     35,     95,   2.81,Part ch,       ,04/07/2022 20:28:00,04/07/2022 21:04:00,      0,
     71,                   ,    750,     24,     77,       ,OPP    ,     46,   2.03,   2.41,     37,     77,     75,    137,   4.03,Full ch,       ,04/07/2022 23:34:00,04/08/2022 12:04:00,      0,
     70,                   ,    750,     24,     77,       ,OPP    ,     39,   2.02,   2.42,    143,     77,     32,     92,   2.72,Part ch,       ,04/08/2022 20:34:00,04/08/2022 21:06:00,      0,
