Type               ,Version            ,S/N                ,Region             ,
LT24V080A          ,P3.4               ,PI504426           ,US                 ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    600,     77,OPP    ,      0,      0,    5.0,  2.250,   27.0,      4,      0,     64,    3.1,     50,      0,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   4432,  59812, -55380,   5859,     46,      0,     28,      0,    274,    550,  20358,    411,      0,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,
    200,                   ,    600,     24,     77,       ,OPP    ,     50,   2.05,   2.41,     33,     77,     32,     35,   1.02,Part ch,       ,03/22/2022 09:55:00,03/22/2022 10:28:00,      0,
    199,                   ,    600,     24,     77,       ,OPP    ,     14,   1.98,   2.44,     75,     77,     43,     58,   1.66,Part ch,       ,03/22/2022 12:55:00,03/22/2022 13:39:00,      0,
    198,                   ,    600,     24,     77,       ,OPP    ,     20,   1.99,   2.42,     30,     77,     88,     87,   2.51,Full ch,       ,03/22/2022 15:50:00,03/23/2022 00:53:00,      0,
    197,                   ,    600,     24,     77,       ,OPP    ,     17,   1.98,   2.42,     30,     77,     68,     74,   2.13,Full ch,       ,03/23/2022 01:44:00,03/23/2022 06:24:00,      0,
    196,                   ,    600,     24,     77,       ,OPP    ,     33,   2.01,   2.42,     30,     77,     20,     21,   0.62,Full ch,       ,03/23/2022 07:03:00,03/23/2022 07:36:00,      0,
    195,                   ,    600,     24,     77,       ,OPP    ,     41,   2.03,   2.42,     30,     77,     22,     21,   0.62,Full ch,       ,03/23/2022 09:56:00,03/23/2022 10:27:00,      0,
    194,                   ,    600,     24,     77,       ,OPP    ,     35,   2.01,   2.47,     66,     77,     14,     18,   0.53,Part ch,       ,03/23/2022 11:53:00,03/23/2022 12:08:00,      0,
    193,                   ,    600,     24,     77,       ,OPP    ,     35,   2.01,   2.42,     30,     77,     30,     27,   0.81,Full ch,       ,03/23/2022 12:55:00,03/23/2022 13:43:00,      0,
    192,                   ,    600,     24,     77,       ,OPP    ,     30,   2.00,   2.42,     39,     77,     23,     27,   0.78,Part ch,       ,03/23/2022 14:27:00,03/23/2022 14:51:00,      0,
    191,                   ,    600,     24,     77,       ,OPP    ,     44,   2.03,   2.41,     30,     77,     24,     19,   0.56,Full ch,       ,03/23/2022 15:50:00,03/23/2022 19:48:00,      0,
    190,                   ,    600,     24,     77,       ,OPP    ,     49,   2.04,   2.42,     31,     77,      5,      4,   0.12,Full ch,       ,03/23/2022 23:59:00,03/24/2022 00:55:00,      0,
    189,                   ,    600,     24,     77,       ,OPP    ,     30,   2.00,   2.42,     30,     77,     20,     19,   0.55,Full ch,       ,03/24/2022 02:01:00,03/24/2022 05:07:00,      0,
    188,                   ,    600,     24,     77,       ,OPP    ,     30,   2.00,   2.42,     30,     77,     16,     15,   0.44,Full ch,       ,03/24/2022 05:23:00,03/24/2022 06:19:00,      0,
    187,                   ,    600,     24,     77,       ,OPP    ,     44,   2.03,   2.42,     30,     77,      6,      5,   0.14,Full ch,       ,03/24/2022 06:23:00,03/24/2022 06:30:00,      0,
    186,                   ,    600,     24,     77,       ,OPP    ,     29,   2.00,   2.46,     69,     77,      8,     11,   0.32,Part ch,       ,03/24/2022 07:09:00,03/24/2022 07:18:00,      0,
