Type               ,Version            ,S/N                ,Region             ,
LT24V080A          ,P3.4               ,PI504425           ,US                 ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    600,     68,OPP    ,      0,      0,    5.0,  2.250,    5.0,      4,      0,     64,    4.0,     25,     60,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   4737,  59259, -54522,   5756,    126,      0,     36,      0,    272,    792,  20317,   1077,      0,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,
    200,                   ,    600,     24,     68,       ,OPP    ,      5,   1.94,   2.43,     33,     68,     96,    112,   3.20,Full ch,DF4    ,03/24/2022 17:34:00,03/24/2022 23:45:00,   4096,
    199,                   ,    600,     24,     68,       ,OPP    ,     46,   2.03,   2.45,     36,     68,      3,      2,   0.08,Full ch,       ,03/24/2022 23:46:00,03/25/2022 01:49:00,      0,
    198,                   ,    600,     24,     68,       ,OPP    ,     33,   2.01,   2.43,     30,     68,     10,     10,   0.30,Full ch,       ,03/25/2022 01:57:00,03/25/2022 06:45:00,      0,
    197,                   ,    600,     24,     68,       ,OPP    ,     44,   2.03,   2.44,     30,     68,      9,      6,   0.20,Full ch,       ,03/25/2022 07:29:00,03/25/2022 07:41:00,      0,
    196,                   ,    600,     24,     68,       ,OPP    ,     27,   2.00,   2.43,     30,     68,     23,     23,   0.67,Full ch,       ,03/25/2022 07:46:00,03/25/2022 08:27:00,      0,
    195,                   ,    600,     24,     68,       ,OPP    ,     22,   1.99,   2.43,     43,     68,     27,     32,   0.95,Part ch,       ,03/25/2022 09:57:00,03/25/2022 10:24:00,      0,
    194,                   ,    600,     24,     68,       ,OPP    ,      5,   1.95,   2.43,     30,     68,     85,     95,   2.73,Full ch,DF4    ,03/25/2022 12:13:00,03/25/2022 13:38:00,   4096,
    193,                   ,    600,     24,     68,       ,OPP    ,      8,   1.96,   2.43,     30,     68,     79,     88,   2.51,Full ch,DF4    ,03/25/2022 16:22:00,03/25/2022 20:59:00,   4096,
    192,                   ,    600,     24,     68,       ,OPP    ,     35,   2.01,   2.43,     30,     68,     22,     16,   0.49,Full ch,       ,03/26/2022 01:50:00,03/28/2022 06:56:00,      0,
    191,                   ,    600,     24,     68,       ,OPP    ,     22,   1.99,   2.43,     30,     68,     26,     27,   0.79,Full ch,       ,03/28/2022 07:44:00,03/28/2022 08:14:00,      0,
