Type               ,Version            ,S/N                ,Region             ,BLE Ver            ,BLE Mac            ,
IQ24V150A          ,P3.4               ,PI504659           ,US                 ,                   ,00:00:00:00:00:00  ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    600,     50,IONIC  ,      0,      0,    5.0,  2.250,   39.0,      4,      0,     64,    3.1,     95,      0,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
  15053,  64553, -49500,   6893,     14,      1,     28,     55,    383,   2922,  20824,    138,   2067,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,Bat Dis,
    300,                   ,       ,     24,     50,       ,COLD   ,     61,   2.07,   2.43,     48,     50,     24,     23,   0.67,Part ch,       ,01/18/2016 07:43:16,01/18/2016 08:07:16,      0,YES    ,
    299,                   ,       ,     24,     50,       ,COLD   ,     60,   2.07,   2.43,     54,     50,     10,     10,   0.30,Part ch,       ,01/18/2016 08:27:16,01/18/2016 08:37:16,      0,YES    ,
    298,                   ,       ,     24,     50,       ,COLD   ,     56,   2.06,   2.43,     54,     50,     11,     10,   0.31,Part ch,       ,01/18/2016 08:54:16,01/18/2016 09:05:16,      0,YES    ,
    297,                   ,       ,     24,     50,       ,COLD   ,     40,   2.02,   2.43,     37,     50,    312,    185,   5.44,Full ch,DF7    ,01/18/2016 14:32:16,01/19/2016 08:29:16,    256,NO     ,
    296,                   ,       ,     24,     50,       ,COLD   ,     38,   2.02,   2.43,     58,     50,     42,     49,   1.42,Part ch,       ,01/19/2016 08:30:16,01/19/2016 09:12:16,      0,YES    ,
    295,                   ,       ,     24,     50,       ,COLD   ,     49,   2.04,   2.22,      0,     50,    100,     67,   1.97,Full ch,       ,01/19/2016 09:47:16,01/19/2016 11:26:16,  16384,NO     ,
    294,                   ,       ,     24,     50,       ,COLD   ,     33,   2.01,   2.56,      0,     50,     79,     80,   2.33,Full ch,       ,01/19/2016 13:13:16,01/19/2016 14:31:16,  16384,NO     ,
    293,                   ,       ,     24,     50,       ,COLD   ,     78,   2.10,   3.03,      0,     50,    117,     42,   1.23,Full ch,       ,01/19/2016 14:34:16,01/19/2016 16:30:16,  16384,NO     ,
    292,                   ,       ,     24,     50,       ,COLD   ,     49,   2.04,   2.43,     39,     50,      4,      1,   0.04,Full ch,       ,01/20/2016 00:37:16,01/20/2016 00:41:16,      0,NO     ,
    291,                   ,       ,     24,     50,       ,COLD   ,     71,   2.09,   2.44,     17,     50,     24,     10,   0.31,Full ch,       ,01/20/2016 01:46:16,01/20/2016 02:09:16,  16384,NO     ,
    290,                   ,       ,     24,     50,       ,COLD   ,     43,   2.03,   2.43,     54,     50,     50,     50,   1.48,Part ch,       ,01/20/2016 02:17:16,01/20/2016 03:07:16,      0,YES    ,
    289,                   ,       ,     24,     50,       ,COLD   ,     74,   2.10,   2.43,     70,     50,      6,      5,   0.16,Part ch,       ,01/20/2016 03:24:16,01/20/2016 03:30:16,      0,YES    ,
    288,                   ,       ,     24,     50,       ,COLD   ,     49,   2.04,   2.89,      0,     50,     18,     10,   0.29,Full ch,       ,01/20/2016 03:31:16,01/20/2016 03:47:16,  16384,NO     ,
    287,                   ,       ,     24,     50,       ,COLD   ,     87,   2.12,   2.43,     29,     50,      5,      1,   0.04,Full ch,       ,01/20/2016 03:55:16,01/20/2016 03:59:16,      0,NO     ,
    286,                   ,       ,     24,     50,       ,COLD   ,     46,   2.04,   2.36,     79,     50,     26,     11,   0.32,Full ch,DF7    ,01/20/2016 04:06:16,01/20/2016 04:47:16,    256,NO     ,
    285,                   ,       ,     24,     50,       ,COLD   ,     58,   2.07,   2.41,     79,     50,     19,     21,   0.61,Part ch,       ,01/20/2016 05:26:16,01/20/2016 05:45:16,      0,YES    ,
    284,                   ,       ,     24,     50,       ,COLD   ,     72,   2.09,   2.42,     79,     50,     11,     11,   0.34,Part ch,       ,01/20/2016 05:58:16,01/20/2016 06:09:16,      0,YES    ,
    283,                   ,       ,     24,     50,       ,COLD   ,     41,   2.03,   2.57,     12,     50,    131,     43,   1.27,Full ch,       ,01/20/2016 09:37:16,01/20/2016 13:41:16,      0,NO     ,
    282,                   ,       ,     24,     50,       ,COLD   ,     41,   2.03,   2.43,     70,     50,     54,     68,   1.95,Part ch,       ,01/20/2016 13:42:16,01/20/2016 14:36:16,      0,YES    ,
    281,                   ,       ,     24,     50,       ,COLD   ,     33,   2.01,   2.43,     38,     50,    363,    230,   6.76,Full ch,DF5    ,01/20/2016 17:56:16,01/21/2016 00:53:16,   1024,NO     ,
    280,                   ,       ,     24,     50,       ,COLD   ,     50,   2.05,   2.22,      0,     50,    180,     53,   1.56,Full ch,       ,01/21/2016 00:55:16,01/21/2016 03:54:16,  16384,NO     ,
    279,                   ,       ,     24,     50,       ,COLD   ,     63,   2.08,   3.51,      0,     50,     46,     33,   0.97,Full ch,       ,01/21/2016 03:55:16,01/21/2016 04:39:16,  16384,NO     ,
    278,                   ,       ,     24,     50,       ,COLD   ,     55,   2.06,   2.37,     79,     50,     38,     47,   1.32,Part ch,       ,01/21/2016 06:48:16,01/21/2016 07:25:16,      0,YES    ,
    277,                   ,       ,     24,     50,       ,COLD   ,     58,   2.07,   3.13,      0,     50,     45,     29,   0.85,Full ch,       ,01/21/2016 07:55:16,01/21/2016 08:39:16,  16384,NO     ,
    276,                   ,       ,     24,     50,       ,COLD   ,     38,   2.02,   2.30,     80,     50,     30,     37,   1.02,Part ch,       ,01/21/2016 11:33:16,01/21/2016 12:03:16,      0,NO     ,
    275,                   ,       ,     24,     50,       ,COLD   ,      5,   1.84,   2.16,     25,     50,     11,      4,   0.10,Part ch,       ,01/21/2016 13:48:16,01/21/2016 13:58:16,      0,NO     ,
    274,                   ,       ,     24,     50,       ,COLD   ,     41,   2.03,   2.43,     17,     50,    363,    111,   3.24,Full ch,DF5    ,01/21/2016 16:39:16,01/22/2016 01:48:16,   1024,NO     ,
    273,                   ,       ,     24,     50,       ,COLD   ,     57,   2.06,   2.42,     79,     50,     34,     41,   1.18,Part ch,       ,01/22/2016 02:17:16,01/22/2016 02:51:16,      0,YES    ,
    272,                   ,       ,     24,     50,       ,COLD   ,     14,   1.98,   2.29,     79,     50,     25,     29,   0.80,Part ch,       ,01/22/2016 03:34:16,01/22/2016 03:58:16,      0,YES    ,
    271,                   ,       ,     24,     50,       ,COLD   ,     99,   2.17,   2.20,      0,     50,     92,     44,   1.30,Full ch,       ,01/22/2016 04:16:16,01/22/2016 05:47:16,  16384,NO     ,
    270,                   ,       ,     24,     50,       ,COLD   ,     66,   2.08,   2.43,     80,     50,     39,     47,   1.37,Part ch,       ,01/22/2016 06:46:16,01/22/2016 07:24:16,      0,YES    ,
    269,                   ,       ,     24,     50,       ,COLD   ,      5,   1.83,   3.04,      0,     50,     13,      4,   0.11,Full ch,       ,01/22/2016 09:25:16,01/22/2016 09:36:16,  16384,NO     ,
    268,                   ,       ,     24,     50,       ,COLD   ,      5,   1.77,   2.52,     12,     50,    116,     58,   1.68,Full ch,       ,01/22/2016 10:47:16,01/22/2016 12:49:16,    512,NO     ,
    267,                   ,       ,     24,     50,       ,COLD   ,     48,   2.04,   2.35,     80,     50,     22,     25,   0.71,Part ch,       ,01/22/2016 13:22:16,01/22/2016 13:43:16,      0,YES    ,
    266,                   ,       ,     24,     50,       ,COLD   ,     38,   2.02,   2.30,     80,     50,      7,      7,   0.21,Part ch,       ,01/22/2016 13:46:16,01/22/2016 13:53:16,      0,NO     ,
    265,                   ,       ,     24,     50,       ,COLD   ,     41,   2.03,   2.43,     12,     50,    128,     45,   1.32,Full ch,       ,01/22/2016 16:49:16,01/22/2016 18:56:16,  16384,NO     ,
    264,                   ,       ,     24,     50,       ,COLD   ,     28,   2.00,   2.27,     80,     50,      3,      2,   0.07,Part ch,       ,01/22/2016 21:14:16,01/22/2016 21:18:16,      0,YES    ,
    263,                   ,       ,     24,     50,       ,COLD   ,     21,   1.99,   2.28,     80,     50,      7,      7,   0.19,Part ch,       ,01/22/2016 21:33:16,01/22/2016 21:40:16,      0,YES    ,
    262,                   ,       ,     24,     50,       ,COLD   ,     20,   1.99,   2.33,     80,     50,     43,     53,   1.48,Part ch,       ,01/22/2016 23:05:16,01/22/2016 23:48:16,      0,YES    ,
    261,                   ,       ,     24,     50,       ,COLD   ,     53,   2.06,   2.43,     50,     50,      4,      2,   0.07,Part ch,       ,01/23/2016 00:16:16,01/23/2016 00:19:16,      0,YES    ,
    260,                   ,       ,     24,     50,       ,COLD   ,     45,   2.03,   2.33,     79,     50,     22,     25,   0.71,Part ch,       ,01/23/2016 03:32:16,01/23/2016 03:53:16,      0,YES    ,
    259,                   ,       ,     24,     50,       ,COLD   ,     46,   2.04,   2.36,     79,     50,     28,     34,   0.95,Part ch,       ,01/23/2016 03:55:16,01/23/2016 04:23:16,      0,YES    ,
    258,                   ,       ,     24,     50,       ,COLD   ,     50,   2.05,   2.37,     80,     50,     18,     21,   0.59,Part ch,       ,01/23/2016 05:03:16,01/23/2016 05:21:16,      0,NO     ,
    257,                   ,       ,     24,     50,       ,COLD   ,      5,   1.78,   2.55,     12,     50,    110,     58,   1.71,Full ch,       ,01/23/2016 06:12:16,01/23/2016 09:18:16,    512,NO     ,
    256,                   ,       ,     24,     50,       ,COLD   ,     41,   2.03,   2.43,     14,     50,    178,     51,   1.51,Part ch,       ,01/23/2016 12:43:16,01/23/2016 15:41:16,      0,NO     ,
    255,                   ,       ,     24,     50,       ,COLD   ,     35,   2.01,   2.42,     54,     50,     95,    118,   3.38,Part ch,       ,01/23/2016 17:14:16,01/23/2016 18:49:16,      0,YES    ,
    254,                   ,       ,     24,     50,       ,COLD   ,     34,   2.01,   2.65,      0,     50,      7,      4,   0.13,Full ch,       ,01/23/2016 22:19:16,01/23/2016 22:25:16,  16384,NO     ,
    253,                   ,       ,     24,     50,       ,COLD   ,     78,   2.10,   2.30,     80,     50,     10,      8,   0.24,Full ch,       ,01/24/2016 00:25:16,01/24/2016 00:34:16,  16384,NO     ,
    252,                   ,       ,     24,     50,       ,COLD   ,     65,   2.08,   2.33,     80,     50,     22,     25,   0.70,Part ch,       ,01/24/2016 00:35:16,01/24/2016 00:57:16,      0,YES    ,
    251,                   ,       ,     24,     50,       ,COLD   ,     46,   2.04,   2.24,     80,     50,      3,      2,   0.06,Part ch,       ,01/24/2016 01:41:16,01/24/2016 01:44:16,      0,YES    ,
    250,                   ,       ,     24,     50,       ,COLD   ,     52,   2.06,   2.43,     79,     50,     54,     68,   1.95,Part ch,       ,01/24/2016 01:46:16,01/24/2016 02:40:16,      0,YES    ,
    249,                   ,       ,     24,     50,       ,COLD   ,     46,   2.04,   2.04,      0,     50,      2,      1,   0.03,Part ch,       ,01/24/2016 02:56:16,01/24/2016 02:58:16,      0,YES    ,
    248,                   ,       ,     24,     50,       ,COLD   ,     45,   2.03,   2.30,      0,     50,     35,     20,   0.59,Full ch,       ,01/24/2016 03:38:16,01/24/2016 04:11:16,  16384,NO     ,
    247,                   ,       ,     24,     50,       ,COLD   ,      5,   1.80,   2.54,     12,     50,    103,     55,   1.60,Full ch,       ,01/24/2016 06:45:16,01/24/2016 08:32:16,    512,NO     ,
    246,                   ,       ,     24,     50,       ,EQUAL  ,     99,   2.36,   2.47,     14,     50,     30,      7,   0.22,Full ch,DF5    ,01/24/2016 08:32:16,01/24/2016 09:22:16,    512,NO     ,
    245,                   ,       ,     24,     50,       ,COLD   ,     42,   2.03,   3.40,      0,     50,     66,     72,   2.07,Full ch,       ,01/24/2016 10:18:16,01/24/2016 11:23:16,  16384,NO     ,
    244,                   ,       ,     24,     50,       ,COLD   ,     34,   2.01,   2.43,     13,     50,    132,     44,   1.29,Part ch,       ,01/24/2016 13:58:16,01/24/2016 16:10:16,      0,NO     ,
    243,                   ,       ,     24,     50,       ,COLD   ,     57,   2.06,   2.24,      0,     50,     26,     15,   0.46,Full ch,       ,01/25/2016 04:45:16,01/25/2016 05:09:16,  16384,NO     ,
    242,                   ,       ,     24,     50,       ,COLD   ,     89,   2.12,   2.43,     66,     50,     14,     15,   0.43,Part ch,       ,01/27/2016 02:05:16,01/27/2016 02:19:16,      0,YES    ,
    241,                   ,       ,     24,     50,       ,COLD   ,     84,   2.12,   2.43,     57,     50,     40,     39,   1.16,Part ch,       ,01/27/2016 02:23:16,01/27/2016 03:03:16,      0,NO     ,
    240,                   ,       ,     24,     50,       ,COLD   ,     81,   2.11,   2.43,     52,     50,     73,     67,   1.99,Part ch,       ,01/27/2016 03:14:16,01/27/2016 04:27:16,      0,NO     ,
    239,                   ,       ,     24,     50,       ,COLD   ,     79,   2.11,   2.43,     57,     50,     18,     19,   0.55,Part ch,       ,01/27/2016 05:19:16,01/27/2016 05:37:16,      0,NO     ,
    238,                   ,       ,     24,     50,       ,COLD   ,      5,   1.82,   3.47,      0,     50,      6,      1,   0.03,Full ch,       ,01/27/2016 06:38:16,01/27/2016 06:43:16,  16384,NO     ,
    237,                   ,       ,     24,     50,       ,COLD   ,     62,   2.07,   2.43,     53,     50,     13,     13,   0.37,Part ch,       ,01/27/2016 07:00:16,01/27/2016 07:13:16,      0,YES    ,
    236,                   ,       ,     24,     50,       ,COLD   ,      5,   1.77,   2.43,     51,     50,     38,     30,   0.89,Part ch,       ,01/27/2016 07:15:16,01/27/2016 07:53:16,      0,YES    ,
    235,                   ,       ,     24,     50,       ,COLD   ,     77,   2.10,   2.49,     12,     50,    128,     34,   1.01,Full ch,       ,01/27/2016 07:55:16,01/27/2016 13:18:16,      0,NO     ,
    234,                   ,       ,     24,     50,       ,COLD   ,     43,   2.03,   2.43,     52,     50,     16,     16,   0.48,Part ch,       ,01/27/2016 13:41:16,01/27/2016 13:57:16,      0,YES    ,
    233,                   ,       ,     24,     50,       ,COLD   ,      5,   1.82,   2.43,     70,     50,     23,     15,   0.43,Part ch,       ,01/27/2016 17:23:16,01/27/2016 17:46:16,      0,YES    ,
    232,                   ,       ,     24,     50,       ,COLD   ,     30,   2.01,   2.43,     17,     50,    363,    111,   3.25,Full ch,DF5    ,01/27/2016 17:55:16,01/28/2016 01:37:16,   1024,NO     ,
    231,                   ,       ,     24,     50,       ,COLD   ,     55,   2.06,   2.39,     78,     50,     14,     14,   0.42,Part ch,       ,01/28/2016 01:38:16,01/28/2016 01:51:16,      0,YES    ,
    230,                   ,       ,     24,     50,       ,COLD   ,      5,   1.76,   2.52,     12,     50,    117,     56,   1.64,Full ch,       ,01/28/2016 01:59:16,01/28/2016 03:56:16,    512,NO     ,
    229,                   ,       ,     24,     50,       ,COLD   ,     84,   2.12,   2.43,     63,     50,     20,     21,   0.61,Part ch,       ,01/28/2016 05:14:16,01/28/2016 05:34:16,      0,NO     ,
    228,                   ,       ,     24,     50,       ,COLD   ,     70,   2.09,   2.42,     64,     50,     45,     53,   1.55,Part ch,       ,01/28/2016 06:38:16,01/28/2016 07:23:16,      0,YES    ,
    227,                   ,       ,     24,     50,       ,COLD   ,     79,   2.11,   2.29,      0,     50,     33,     25,   0.75,Full ch,       ,01/28/2016 07:25:16,01/28/2016 07:57:16,  16384,NO     ,
    226,                   ,       ,     24,     50,       ,COLD   ,     23,   1.99,   2.26,     12,     50,     99,     45,   1.28,Full ch,       ,01/28/2016 10:41:16,01/28/2016 17:29:16,      0,NO     ,
    225,                   ,       ,     24,     50,       ,COLD   ,     36,   2.02,   2.43,     21,     50,     60,     34,   1.00,Part ch,       ,01/28/2016 17:32:16,01/28/2016 18:32:16,      0,NO     ,
    224,                   ,       ,     24,     50,       ,COLD   ,      5,   1.83,   2.43,     71,     50,     21,     12,   0.35,Part ch,       ,01/29/2016 03:04:16,01/29/2016 03:25:16,      0,YES    ,
    223,                   ,       ,     24,     50,       ,COLD   ,     70,   2.09,   2.59,     12,     50,     90,     20,   0.61,Full ch,       ,01/29/2016 03:25:16,01/29/2016 05:12:16,      0,NO     ,
    222,                   ,       ,     24,     50,       ,COLD   ,     16,   1.98,   2.42,     79,     50,     29,     35,   1.01,Part ch,       ,01/29/2016 07:27:16,01/29/2016 07:56:16,      0,YES    ,
    221,                   ,       ,     24,     50,       ,COLD   ,      5,   1.84,   3.86,      0,     50,     12,      4,   0.10,Full ch,       ,01/29/2016 13:31:16,01/29/2016 13:42:16,  16384,NO     ,
    220,                   ,       ,     24,     50,       ,COLD   ,      5,   1.83,   2.21,      0,     50,     41,     28,   0.81,Full ch,       ,01/29/2016 14:29:16,01/29/2016 15:10:16,  16384,NO     ,
    219,                   ,       ,     24,     50,       ,COLD   ,     63,   2.08,   2.29,     80,     50,      3,      2,   0.06,Part ch,       ,01/29/2016 16:24:16,01/29/2016 16:27:16,      0,YES    ,
    218,                   ,       ,     24,     50,       ,COLD   ,      5,   1.96,   2.43,     41,     50,    396,    296,   8.67,Full ch,DF5    ,01/29/2016 17:58:16,01/30/2016 01:34:16,   1024,NO     ,
    217,                   ,       ,     24,     50,       ,COLD   ,     50,   2.04,   2.20,      0,     50,     59,     22,   0.65,Full ch,       ,01/30/2016 01:38:16,01/30/2016 02:36:16,  16384,NO     ,
    216,                   ,       ,     24,     50,       ,COLD   ,     20,   1.99,   2.24,     79,     50,      3,      1,   0.04,Part ch,       ,01/30/2016 02:43:16,01/30/2016 02:45:16,      0,YES    ,
    215,                   ,       ,     24,     50,       ,COLD   ,     16,   1.98,   2.34,     79,     50,     56,     70,   1.94,Part ch,       ,01/30/2016 03:04:16,01/30/2016 03:59:16,      0,YES    ,
    214,                   ,       ,     24,     50,       ,COLD   ,     37,   2.02,   2.35,     79,     50,     42,     52,   1.46,Part ch,       ,01/30/2016 05:20:16,01/30/2016 06:02:16,      0,YES    ,
    213,                   ,       ,     24,     50,       ,COLD   ,     56,   2.06,   2.31,     79,     50,     17,     19,   0.52,Part ch,       ,01/30/2016 06:21:16,01/30/2016 06:37:16,      0,YES    ,
    212,                   ,       ,     24,     50,       ,COLD   ,     67,   2.08,   2.37,     80,     50,     38,     47,   1.33,Part ch,       ,01/30/2016 06:45:16,01/30/2016 07:23:16,      0,NO     ,
    211,                   ,       ,     24,     50,       ,COLD   ,     50,   2.04,   2.23,      0,     50,     49,     22,   0.66,Full ch,       ,01/30/2016 08:21:16,01/30/2016 09:09:16,  16384,NO     ,
    210,                   ,       ,     24,     50,       ,COLD   ,     46,   2.04,   2.82,      0,     50,     40,     21,   0.62,Full ch,       ,01/30/2016 13:18:16,01/30/2016 13:57:16,  16384,NO     ,
    209,                   ,       ,     24,     50,       ,COLD   ,     37,   2.02,   2.32,     79,     50,     18,     20,   0.56,Part ch,       ,01/30/2016 16:14:16,01/30/2016 16:32:16,      0,YES    ,
    208,                   ,       ,     24,     50,       ,COLD   ,     43,   2.03,   2.79,      0,     50,     58,     23,   0.68,Full ch,       ,01/31/2016 03:48:16,01/31/2016 04:44:16,  16384,NO     ,
    207,                   ,       ,     24,     50,       ,COLD   ,     26,   2.00,   2.39,     79,     50,     61,     77,   2.15,Part ch,       ,01/31/2016 05:11:16,01/31/2016 06:11:16,      0,YES    ,
    206,                   ,       ,     24,     50,       ,COLD   ,     41,   2.03,   2.34,     79,     50,     22,     25,   0.71,Part ch,       ,01/31/2016 07:34:16,01/31/2016 07:55:16,      0,YES    ,
    205,                   ,       ,     24,     50,       ,COLD   ,     73,   2.10,   2.43,     66,     50,     53,     63,   1.84,Part ch,       ,01/31/2016 07:57:16,01/31/2016 08:49:16,      0,YES    ,
    204,                   ,       ,     24,     50,       ,COLD   ,     46,   2.04,   2.61,      0,     50,      7,      4,   0.13,Full ch,       ,01/31/2016 13:54:16,01/31/2016 13:59:16,  16384,NO     ,
    203,                   ,       ,     24,     50,       ,COLD   ,     50,   2.05,   2.33,     79,     50,     14,     13,   0.37,Full ch,       ,01/31/2016 14:05:16,01/31/2016 14:18:16,  16384,NO     ,
    202,                   ,       ,     24,     50,       ,COLD   ,     68,   2.09,   2.37,     79,     50,     19,     21,   0.61,Part ch,       ,01/31/2016 15:40:16,01/31/2016 15:59:16,      0,NO     ,
