Type               ,Version            ,S/N                ,Region             ,BLE Ver            ,BLE Mac            ,
IQ24V150A          ,P3.4               ,PI504655           ,US                 ,                   ,00:00:00:00:00:00  ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    600,     50,IONIC  ,      0,      0,    5.0,  2.250,   39.0,      4,      0,     64,    3.1,     95,      0,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   9430,  62263, -52833,   6819,    134,      0,     28,      0,    322,   1367,  20748,   1086,   7698,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,Bat Dis,
    300,                   ,       ,     24,     50,       ,COLD   ,     44,   2.03,   2.13,     23,     50,     68,     34,   1.01,Full ch,       ,04/02/2022 15:18:16,04/02/2022 16:58:16,    512,NO     ,
    299,                   ,       ,     24,     50,       ,COLD   ,     52,   2.06,   2.52,      0,     50,     17,     22,   0.65,Full ch,       ,04/04/2022 02:18:16,04/04/2022 02:34:16,  16384,NO     ,
    298,                   ,       ,     24,     50,       ,COLD   ,     50,   2.05,   2.44,      0,     50,    109,     78,   2.30,Full ch,       ,04/04/2022 02:56:16,04/04/2022 04:44:16,  16384,NO     ,
    297,                   ,       ,     24,     50,       ,COLD   ,     95,   2.14,   2.43,    149,     50,      5,      9,   0.29,Part ch,       ,04/04/2022 05:14:16,04/04/2022 05:20:16,      0,YES    ,
    296,                   ,       ,     24,     50,       ,COLD   ,     55,   2.06,   2.42,    150,     50,      7,     12,   0.35,Part ch,       ,04/04/2022 06:16:16,04/04/2022 06:22:16,      0,NO     ,
    295,                   ,       ,     24,     50,       ,COLD   ,     62,   2.07,   2.42,    114,     50,     26,     57,   1.69,Part ch,       ,04/04/2022 06:35:16,04/04/2022 07:01:16,      0,NO     ,
    294,                   ,       ,     24,     50,       ,COLD   ,     54,   2.06,   2.43,     93,     50,     50,     97,   2.86,Part ch,       ,04/04/2022 08:18:16,04/04/2022 09:07:16,      0,NO     ,
    293,                   ,       ,     24,     50,       ,COLD   ,     85,   2.12,   2.34,      0,     50,     30,     40,   1.19,Full ch,       ,04/04/2022 09:38:16,04/04/2022 10:07:16,  16384,NO     ,
    292,                   ,       ,     24,     50,       ,COLD   ,     72,   2.09,   2.42,     92,     50,     13,     21,   0.63,Part ch,       ,04/04/2022 11:16:16,04/04/2022 11:29:16,      0,NO     ,
    291,                   ,       ,     24,     50,       ,COLD   ,     71,   2.09,   2.41,     98,     50,      9,     15,   0.44,Part ch,       ,04/04/2022 12:18:16,04/04/2022 12:27:16,      0,NO     ,
    290,                   ,       ,     24,     50,       ,COLD   ,     68,   2.09,   2.43,     86,     50,     19,     32,   0.95,Part ch,       ,04/04/2022 12:53:16,04/04/2022 13:12:16,      0,NO     ,
    289,                   ,       ,     24,     50,       ,COLD   ,     63,   2.08,   2.43,     86,     50,     29,     51,   1.50,Part ch,       ,04/04/2022 14:48:16,04/04/2022 15:17:16,      0,NO     ,
    288,                   ,       ,     24,     50,       ,COLD   ,     35,   2.01,   2.43,    119,     50,     23,     47,   1.40,Part ch,       ,04/04/2022 15:35:16,04/04/2022 15:58:16,      0,NO     ,
    287,                   ,       ,     24,     50,       ,COLD   ,     49,   2.04,   2.09,     23,     50,    119,    114,   3.35,Full ch,       ,04/04/2022 16:25:16,04/04/2022 18:38:16,    512,NO     ,
    286,                   ,       ,     24,     50,       ,COLD   ,     71,   2.09,   2.26,      0,     50,     65,     30,   0.90,Full ch,       ,04/04/2022 19:34:16,04/04/2022 20:38:16,  16384,NO     ,
    285,                   ,       ,     24,     50,       ,COLD   ,     56,   2.06,   3.64,      0,     50,     39,     49,   1.45,Full ch,       ,04/04/2022 22:15:16,04/04/2022 22:52:16,  16384,NO     ,
    284,                   ,       ,     24,     50,       ,COLD   ,     67,   2.08,   2.38,    150,     50,     14,     27,   0.79,Part ch,       ,04/05/2022 03:38:16,04/05/2022 03:52:16,      0,NO     ,
