Type               ,Version            ,S/N                ,Region             ,
LT24V240A          ,P3.6               ,RWB342381          ,US                 ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    750,     77,OPP    ,      0,      0,    5.0,  2.250,   34.0,      6,      0,     64,    3.4,     95,      0,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
     74,     27,     47,      4,      0,      0,      0,      0,      0,      0,      0,      0,    139,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,
     78,                   ,    750,     48,     77,       ,OPP    ,     24,   1.99,   2.04,    179,     77,      1,      4,   0.21,Full ch,       ,02/15/2022 09:43:00,02/15/2022 09:45:00,      0,
     77,                   ,    750,     24,     77,       ,OPP    ,     33,   2.01,   2.42,    116,     77,     67,    187,   5.47,Part ch,       ,03/15/2022 16:48:00,03/15/2022 17:56:00,      0,
     76,                   ,    750,     24,     77,       ,OPP    ,     98,   2.14,   2.42,     37,     77,     52,     64,   1.88,Full ch,       ,03/15/2022 18:00:00,03/16/2022 07:03:00,      0,
     75,                   ,    750,     24,     77,       ,OPP    ,     64,   2.08,   2.42,     67,     77,     22,     41,   1.20,Full ch,       ,03/16/2022 09:26:00,03/16/2022 09:49:00,      0,
     74,                   ,    750,     24,     77,       ,OPP    ,     56,   2.06,   2.41,     50,     77,     39,     63,   1.86,Full ch,       ,03/16/2022 13:09:00,03/16/2022 13:48:00,      0,
     73,                   ,    750,     24,     77,       ,OPP    ,     47,   2.04,   2.42,     69,     77,     42,     92,   2.71,Part ch,       ,03/16/2022 15:49:00,03/16/2022 16:32:00,      0,
     72,                   ,    750,     24,     77,       ,OPP    ,     34,   2.01,   2.42,    140,     77,     36,    107,   3.13,Part ch,       ,03/16/2022 21:26:00,03/16/2022 22:03:00,      0,
     71,                   ,    750,     24,     77,       ,OPP    ,     44,   2.03,   2.42,     37,     77,     84,    144,   4.22,Full ch,       ,03/17/2022 00:33:00,03/17/2022 07:03:00,      0,
     70,                   ,    750,     24,     77,       ,OPP    ,     51,   2.05,   2.41,    102,     77,     18,     43,   1.28,Full ch,       ,03/17/2022 09:03:00,03/17/2022 09:22:00,      0,
     69,                   ,    750,     24,     77,       ,OPP    ,     50,   2.04,   2.42,     69,     77,     37,     80,   2.37,Part ch,       ,03/17/2022 11:20:00,03/17/2022 11:57:00,      0,
     68,                   ,    750,     24,     77,       ,OPP    ,     37,   2.02,   2.42,    131,     77,     38,    110,   3.22,Full ch,       ,03/17/2022 13:13:00,03/17/2022 13:52:00,      0,
     67,                   ,    750,     24,     77,       ,OPP    ,     50,   2.04,   2.42,     38,     77,     55,     89,   2.61,Full ch,       ,03/17/2022 15:37:00,03/17/2022 16:33:00,      0,
     66,                   ,    750,     24,     77,       ,OPP    ,     30,   2.01,   2.42,    164,     77,     36,    112,   3.28,Part ch,       ,03/17/2022 21:26:00,03/17/2022 22:03:00,      0,
     65,                   ,    750,     24,     77,       ,OPP    ,     46,   2.04,   2.42,     37,     77,     82,    148,   4.33,Full ch,       ,03/18/2022 00:31:00,03/18/2022 07:03:00,      0,
     64,                   ,    750,     24,     77,       ,OPP    ,     58,   2.07,   2.41,     57,     77,     22,     39,   1.15,Full ch,       ,03/18/2022 08:57:00,03/18/2022 09:20:00,      0,
     63,                   ,    750,     24,     77,       ,OPP    ,     50,   2.05,   2.42,     59,     77,     38,     81,   2.38,Part ch,       ,03/18/2022 11:09:00,03/18/2022 11:48:00,      0,
     62,                   ,    750,     24,     77,       ,OPP    ,     50,   2.05,   2.42,     67,     77,     37,     78,   2.30,Full ch,       ,03/18/2022 13:11:00,03/18/2022 13:49:00,      0,
     61,                   ,    750,     24,     77,       ,OPP    ,     52,   2.06,   2.41,     37,     77,     44,     65,   1.92,Full ch,       ,03/18/2022 13:59:00,03/18/2022 16:35:00,      0,
     60,                   ,    750,     24,     77,       ,OPP    ,     35,   2.01,   2.41,     37,     77,     82,    174,   5.11,Full ch,       ,03/18/2022 21:24:00,03/20/2022 00:04:00,      0,
     59,                   ,    750,     24,     77,       ,EQUAL  ,     83,   2.12,   2.58,     18,     77,    599,    276,   8.67,Full ch,       ,03/20/2022 00:04:00,03/21/2022 07:03:00,      0,
     58,                   ,    750,     24,     77,       ,OPP    ,     69,   2.09,   2.41,     48,     77,     21,     27,   0.81,Full ch,       ,03/21/2022 08:59:00,03/21/2022 09:20:00,      0,
     57,                   ,    750,     24,     77,       ,OPP    ,     57,   2.07,   2.42,     80,     77,     33,     67,   1.97,Part ch,       ,03/21/2022 12:13:00,03/21/2022 12:47:00,      0,
     56,                   ,    750,     24,     77,       ,OPP    ,     55,   2.06,   2.42,    101,     77,     39,     94,   2.76,Full ch,       ,03/21/2022 13:10:00,03/21/2022 13:49:00,      0,
     55,                   ,    750,     24,     77,       ,OPP    ,     56,   2.06,   2.42,     67,     77,     45,     89,   2.63,Part ch,       ,03/21/2022 15:47:00,03/21/2022 16:34:00,      0,
     54,                   ,    750,     24,     77,       ,OPP    ,     50,   2.05,   2.42,    124,     77,     31,     86,   2.55,Part ch,       ,03/21/2022 21:31:00,03/21/2022 22:03:00,      0,
     53,                   ,    750,     24,     77,       ,OPP    ,     50,   2.05,   2.42,     38,     77,     83,    146,   4.29,Full ch,       ,03/22/2022 00:47:00,03/22/2022 07:02:00,      0,
     52,                   ,    750,     24,     77,       ,OPP    ,     70,   2.09,   2.42,     53,     77,     43,     70,   2.07,Part ch,       ,03/22/2022 15:52:00,03/22/2022 16:36:00,      0,
     51,                   ,    750,     24,     77,       ,OPP    ,     52,   2.06,   2.42,    106,     77,     33,     79,   2.33,Part ch,       ,03/22/2022 21:32:00,03/22/2022 22:05:00,      0,
