Type               ,Version            ,S/N                ,Region             ,BLE Ver            ,BLE Mac            ,
IQ 243648V         ,P3.4               ,PI504657           ,US                 ,                   ,00:00:00:00:00:00  ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    700,     50,OPP    ,      0,      0,    5.0,  2.250,   39.0,      4,      0,     64,    3.1,     95,      0,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   5009,  59099, -54090,   6807,    101,      0,     18,      0,    270,    467,  20598,   1345,   1536,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,Bat Dis,
    300,                   ,    875,     36,     50,       ,OPP    ,     47,   2.04,   2.22,    154,     50,      3,      5,   0.22,Part ch,       ,12/16/2021 14:01:16,12/16/2021 14:04:16,      0,YES    ,
    299,                   ,    875,     36,     50,       ,OPP    ,     36,   2.02,   2.47,     44,     50,    307,    634,  26.96,Full ch,       ,12/16/2021 14:31:16,12/16/2021 20:11:16,      0,NO     ,
    298,                   ,    875,     36,     50,       ,OPP    ,     68,   2.09,   2.33,    153,     50,     40,     98,   4.10,Part ch,       ,12/17/2021 09:56:16,12/17/2021 10:35:16,      0,YES    ,
    297,                   ,    875,     36,     50,       ,OPP    ,     50,   2.05,   2.46,     44,     50,    222,    479,  20.75,Full ch,       ,12/17/2021 13:49:16,12/17/2021 20:18:16,      0,NO     ,
    296,                   ,    875,     36,     50,       ,OPP    ,     61,   2.07,   2.41,    154,     50,     35,     87,   3.81,Part ch,       ,12/18/2021 07:53:16,12/18/2021 08:28:16,      0,NO     ,
    295,                   ,    875,     36,     50,       ,OPP    ,     58,   2.07,   2.40,    154,     50,     41,    102,   4.42,Part ch,       ,12/18/2021 09:56:16,12/18/2021 10:36:16,      0,YES    ,
    294,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     44,   2.03,   2.37,    154,     50,     34,     83,   3.54,Part ch,       ,12/18/2021 10:40:16,12/18/2021 11:14:16,      0,YES    ,
    293,                   ,    875,     36,     50,       ,OPP    ,     54,   2.06,   2.46,     44,     50,    145,    304,  13.33,Full ch,       ,12/18/2021 13:41:16,12/18/2021 22:43:16,      0,NO     ,
    292,                   ,    875,     36,     50,       ,OPP    ,     72,   2.09,   2.42,    154,     50,     33,     82,   3.56,Part ch,       ,12/19/2021 08:00:16,12/19/2021 08:33:16,      0,YES    ,
    291,                   ,    875,     36,     50,       ,OPP    ,     72,   2.09,   2.47,    142,     50,     42,    104,   4.58,Part ch,       ,12/19/2021 09:56:16,12/19/2021 10:38:16,      0,YES    ,
    290,                   ,    875,     36,     50,       ,OPP    ,     60,   2.07,   2.47,     43,     50,    129,    258,  11.30,Full ch,       ,12/19/2021 13:43:16,12/19/2021 15:55:16,      0,NO     ,
    289,                   ,       ,     36,     50,       ,EQUAL  ,     99,   2.22,   2.64,     21,     50,    480,    244,  11.72,Full ch,       ,12/19/2021 15:55:16,12/23/2021 22:00:16,      0,NO     ,
    288,                   ,    875,     36,     50,       ,OPP    ,     50,   2.05,   2.36,    153,     50,     39,     97,   4.17,Part ch,       ,12/24/2021 07:51:16,12/24/2021 08:29:16,      0,NO     ,
    287,                   ,    875,     36,     50,       ,OPP    ,     50,   2.05,   2.34,    154,     50,     43,    107,   4.57,Part ch,       ,12/24/2021 09:58:16,12/24/2021 10:41:16,      0,NO     ,
    286,                   ,    875,     36,     50,       ,OPP    ,     47,   2.04,   2.47,     44,     50,    213,    471,  20.47,Full ch,       ,12/24/2021 14:56:16,12/24/2021 22:58:16,      0,NO     ,
    285,                   ,    875,     36,     50,       ,OPP    ,     66,   2.08,   2.36,    154,     50,     29,     72,   3.05,Part ch,       ,12/25/2021 07:53:16,12/25/2021 08:21:16,      0,YES    ,
    284,                   ,    875,     36,     50,       ,OPP    ,     58,   2.07,   2.36,    154,     50,     43,    109,   4.64,Part ch,       ,12/25/2021 09:53:16,12/25/2021 10:36:16,      0,YES    ,
    283,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     36,   2.02,   2.35,    154,     50,     27,     66,   2.80,Part ch,       ,12/25/2021 10:39:16,12/25/2021 11:06:16,      0,YES    ,
    282,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     36,   2.02,   2.35,    154,     50,     50,    123,   5.23,Part ch,       ,12/26/2021 08:05:16,12/26/2021 08:55:16,      0,YES    ,
    281,                   ,    875,     36,     50,       ,OPP    ,     97,   2.14,   2.47,     58,     50,     40,     72,   3.19,Part ch,       ,12/26/2021 09:59:16,12/26/2021 10:39:16,      0,YES    ,
    280,                   ,    875,     36,     50,       ,OPP    ,     80,   2.11,   2.47,     44,     50,     94,    179,   7.84,Full ch,       ,12/26/2021 13:29:16,12/26/2021 15:06:16,      0,NO     ,
    279,                   ,       ,     36,     50,       ,EQUAL  ,     99,   2.22,   2.65,     21,     50,    480,    244,  11.68,Full ch,       ,12/26/2021 15:06:16,12/29/2021 20:10:16,      0,NO     ,
    278,                   ,    875,     36,     50,       ,OPP    ,     49,   2.04,   2.39,    153,     50,     42,    104,   4.52,Part ch,       ,12/30/2021 01:36:16,12/30/2021 02:18:16,      0,YES    ,
    277,                   ,    875,     36,     50,       ,OPP    ,     68,   2.09,   2.42,    154,     50,      6,     12,   0.51,Part ch,       ,12/30/2021 03:00:16,12/30/2021 03:05:16,      0,YES    ,
    276,                   ,    875,     36,     50,       ,OPP    ,     41,   2.03,   2.36,    154,     50,     45,    113,   4.81,Part ch,       ,12/30/2021 04:58:16,12/30/2021 05:43:16,      0,YES    ,
    275,                   ,    875,     36,     50,       ,OPP    ,     35,   2.01,   2.30,    154,     50,     28,     70,   2.94,Part ch,       ,12/30/2021 08:00:16,12/30/2021 08:29:16,      0,NO     ,
    274,RTK00077421        ,    875,     36,     50,OPP    ,OPP    ,     37,   2.02,   2.38,    153,     50,     36,     86,   3.69,Part ch,       ,12/30/2021 08:31:16,12/30/2021 09:06:16,      0,YES    ,
    273,                   ,    875,     36,     50,       ,OPP    ,     36,   2.02,   2.31,    154,     50,     44,    111,   4.65,Part ch,       ,12/30/2021 09:51:16,12/30/2021 10:35:16,      0,YES    ,
    272,                   ,    875,     36,     50,       ,OPP    ,     35,   2.01,   2.28,    154,     50,     35,     86,   3.57,Part ch,       ,12/30/2021 12:30:16,12/30/2021 13:04:16,      0,YES    ,
