Type               ,Version            ,S/N                ,Region             ,
LT24V080A          ,P3.4               ,PC503957           ,US                 ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    300,     70,OPP    ,      0,      0,    5.0,  2.250,   40.0,      4,      0,     64,    4.0,     50,     60,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   2796,   2251,    545,     58,      0,      0,      2,      0,     68,    702,     63,      0,      0,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,
    200,                   ,    300,     24,     69,       ,OPP    ,     36,   2.02,   2.28,     75,     69,     79,     99,   2.73,Part ch,       ,03/04/2022 14:34:00,03/04/2022 15:54:00,      0,
    199,                   ,    300,     24,     69,       ,OPP    ,     30,   2.00,   2.21,     75,     69,      6,      8,   0.22,Part ch,       ,03/04/2022 17:35:00,03/04/2022 17:42:00,      0,
    198,                   ,    300,     24,     69,       ,OPP    ,     50,   2.05,   2.38,     75,     69,     44,     56,   1.58,Part ch,       ,03/04/2022 19:48:00,03/04/2022 20:33:00,      0,
    197,                   ,    300,     24,     69,       ,OPP    ,     44,   2.03,   2.43,     15,     69,    178,    154,   4.44,Full ch,       ,03/05/2022 00:05:00,03/05/2022 06:08:00,      0,
    196,                   ,    300,     24,     69,       ,OPP    ,     35,   2.01,   2.37,     75,     69,     20,     25,   0.72,Part ch,       ,03/05/2022 08:57:00,03/05/2022 09:18:00,      0,
    195,                   ,    300,     24,     69,       ,OPP    ,     33,   2.01,   2.31,     75,     69,     37,     46,   1.27,Part ch,       ,03/05/2022 13:17:00,03/05/2022 13:55:00,      0,
    194,                   ,    300,     24,     69,       ,OPP    ,      7,   1.96,   2.22,     75,     69,     13,     16,   0.44,Part ch,DF4    ,03/05/2022 15:40:00,03/05/2022 15:54:00,   4096,
    193,                   ,    300,     24,     69,       ,OPP    ,     66,   2.08,   2.21,     75,     69,      1,      1,   0.03,Part ch,       ,03/05/2022 15:54:00,03/05/2022 15:56:00,      0,
    192,                   ,    300,     24,     69,       ,OPP    ,     71,   2.09,   2.43,     15,     69,    577,    308,   8.93,Full ch,       ,03/05/2022 15:56:00,03/06/2022 01:39:00,      0,
    191,                   ,       ,     24,     69,       ,EQUAL  ,     99,   2.25,   2.38,      7,     69,    479,     83,   2.43,Full ch,       ,03/06/2022 01:39:00,03/07/2022 05:46:00,      0,
