Type               ,Version            ,S/N                ,Region             ,
LT24V080A          ,P3.4               ,PI504428           ,US                 ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    600,     70,OPP    ,      0,      0,    5.0,  2.250,   27.0,      4,      0,     64,    3.1,     50,      0,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   4196,  59401, -55205,   5891,     20,      0,     26,      0,    272,    822,  20331,     65,      0,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,
    200,                   ,    600,     24,     69,       ,OPP    ,     42,   2.03,   2.43,     43,     69,     92,    112,   3.23,Full ch,       ,01/19/2022 09:49:00,01/19/2022 11:22:00,      0,
    199,                   ,    600,     24,     69,       ,OPP    ,     52,   2.06,   2.43,     65,     69,     39,     51,   1.47,Full ch,       ,01/19/2022 13:18:00,01/19/2022 13:57:00,      0,
    198,                   ,    600,     24,     69,       ,OPP    ,     37,   2.02,   2.43,     30,     69,    145,    157,   4.52,Full ch,       ,01/19/2022 17:57:00,01/19/2022 22:14:00,      0,
    197,                   ,    600,     24,     69,       ,OPP    ,     50,   2.05,   2.43,     30,     69,     86,     93,   2.71,Full ch,       ,01/20/2022 00:59:00,01/20/2022 07:32:00,      0,
    196,                   ,    600,     24,     69,       ,OPP    ,     34,   2.01,   2.43,     30,     69,    108,    122,   3.53,Full ch,       ,01/20/2022 20:02:00,01/21/2022 06:41:00,      0,
    195,                   ,    600,     24,     69,       ,OPP    ,     30,   2.01,   2.99,      0,     69,     37,     48,   1.34,Full ch,       ,01/21/2022 13:21:00,01/21/2022 13:59:00,  16384,
    194,                   ,    600,     24,     69,       ,OPP    ,     30,   2.01,   2.74,      0,     69,     55,     72,   2.06,Full ch,       ,01/21/2022 20:16:00,01/21/2022 21:12:00,  16384,
    193,                   ,    600,     24,     69,       ,OPP    ,     57,   2.06,   2.43,     30,     69,     66,     68,   2.00,Full ch,       ,01/21/2022 21:46:00,01/22/2022 06:40:00,      0,
    192,                   ,    600,     24,     69,       ,OPP    ,     50,   2.05,   2.43,     30,     69,     80,     86,   2.49,Full ch,       ,01/22/2022 11:58:00,01/22/2022 16:27:00,      0,
    191,                   ,    600,     24,     69,       ,OPP    ,     35,   2.01,   2.43,     30,     69,    134,    153,   4.40,Full ch,       ,01/23/2022 01:03:00,01/23/2022 03:23:00,      0,
    190,                   ,    600,     24,     69,       ,EQUAL  ,     99,   2.19,   2.51,     15,     69,    479,    167,   5.09,Full ch,       ,01/23/2022 03:23:00,01/24/2022 06:41:00,      0,
    189,                   ,    600,     24,     69,       ,OPP    ,     46,   2.04,   2.43,     73,     69,     25,     33,   0.97,Part ch,       ,01/24/2022 09:33:00,01/24/2022 09:59:00,      0,
    188,                   ,    600,     24,     69,       ,OPP    ,     30,   2.00,   2.34,     80,     69,     17,     22,   0.64,Part ch,       ,01/24/2022 12:18:00,01/24/2022 12:35:00,      0,
    187,                   ,    600,     24,     69,       ,OPP    ,     44,   2.03,   2.38,     80,     69,     44,     59,   1.70,Part ch,       ,01/24/2022 12:51:00,01/24/2022 13:36:00,      0,
    186,                   ,    600,     24,     69,       ,OPP    ,     50,   2.05,   2.39,     80,     69,     34,     45,   1.29,Part ch,       ,01/24/2022 14:32:00,01/24/2022 15:07:00,      0,
