Type               ,Version            ,S/N                ,Region             ,
LT24V080A          ,P3.4               ,PI504425           ,US                 ,
Bat cap,Temp   ,Profile,Del chg,Cond ch,I float,V float,I equal,Time eq,Del eql,Period ,Length ,Section,T elect,
    600,     68,OPP    ,      0,      0,    5.0,  2.250,    5.0,      4,      0,     64,    4.0,     25,     60,
Charge ,Part ch,Full ch,Equal  ,DF1    ,DF2    ,DF3    ,TH     ,DF7    ,DF4    ,DF5    ,DFC    ,TH Mod ,
   4650,  59225, -54575,   5756,    126,      0,     36,      0,    272,    788,  20317,   1077,      0,
Nr     ,S/N                ,Capacit,U batt ,Temp   ,Techno ,Profile,% init ,U start,U end  ,I end  ,Temp en,Chg Tim,Ah     ,kWh    ,Chg end,Default,SoC                ,DBa                ,CFC    ,
    200,                   ,    600,     24,     68,       ,OPP    ,     22,   1.99,   2.43,     30,     68,     93,     96,   2.79,Full ch,       ,03/11/2022 02:41:00,03/11/2022 06:55:00,      0,
    199,                   ,    600,     24,     68,       ,OPP    ,     38,   2.02,   2.43,     54,     68,     12,     15,   0.43,Part ch,       ,03/11/2022 07:43:00,03/11/2022 07:56:00,      0,
    198,                   ,    600,     24,     68,       ,OPP    ,     50,   2.04,   2.43,     40,     68,      9,      9,   0.27,Full ch,       ,03/11/2022 08:07:00,03/11/2022 08:17:00,      0,
    197,                   ,    600,     24,     68,       ,OPP    ,     28,   2.00,   2.43,     43,     68,     34,     40,   1.18,Part ch,       ,03/11/2022 09:51:00,03/11/2022 10:25:00,      0,
    196,                   ,    600,     24,     68,       ,OPP    ,     27,   2.00,   2.29,     79,     68,      7,      9,   0.26,Part ch,       ,03/11/2022 11:27:00,03/11/2022 11:34:00,      0,
    195,                   ,    600,     24,     68,       ,OPP    ,     12,   1.97,   2.37,     80,     68,     40,     53,   1.51,Part ch,       ,03/11/2022 12:54:00,03/11/2022 13:34:00,      0,
    194,                   ,    600,     24,     68,       ,OPP    ,     11,   1.97,   2.24,     79,     68,      8,     11,   0.31,Part ch,       ,03/11/2022 15:29:00,03/11/2022 15:38:00,      0,
    193,                   ,    600,     24,     68,       ,OPP    ,     14,   1.98,   2.36,     80,     68,     36,     48,   1.37,Part ch,       ,03/11/2022 16:20:00,03/11/2022 16:57:00,      0,
    192,                   ,    600,     24,     68,       ,OPP    ,     99,   2.20,   2.43,     31,     68,    119,     88,   2.61,Full ch,       ,03/11/2022 16:57:00,03/11/2022 18:56:00,      0,
    191,                   ,    600,     24,     68,       ,OPP    ,     36,   2.02,   2.43,     30,     68,     49,     47,   1.37,Full ch,       ,03/12/2022 02:20:00,03/12/2022 06:55:00,      0,
    190,                   ,    600,     24,     68,       ,OPP    ,     46,   2.04,   2.44,     30,     68,     12,     10,   0.31,Full ch,       ,03/12/2022 07:29:00,03/12/2022 08:23:00,      0,
    189,                   ,    600,     24,     68,       ,OPP    ,     33,   2.01,   2.43,     31,     68,     33,     30,   0.89,Full ch,       ,03/12/2022 09:37:00,03/12/2022 10:10:00,      0,
    188,                   ,    600,     24,     68,       ,OPP    ,     21,   1.99,   2.41,     79,     68,     45,     60,   1.71,Part ch,       ,03/12/2022 12:48:00,03/12/2022 13:33:00,      0,
    187,                   ,    600,     24,     68,       ,OPP    ,     22,   1.99,   2.43,     30,     68,     66,     68,   1.98,Full ch,       ,03/12/2022 16:19:00,03/12/2022 21:22:00,      0,
    186,                   ,    600,     24,     68,       ,OPP    ,     44,   2.03,   2.43,     30,     68,     13,     11,   0.33,Full ch,       ,03/13/2022 00:39:00,03/13/2022 07:09:00,      0,
